Month,Year,Monthly Temperature - (Celsius)
1,2020-2039,12.08489915625
1,2040-2059,12.67701778125
1,2060-2079,13.042843375
1,2080-2099,13.6148584375
2,2020-2039,14.365787749999999
2,2040-2059,14.9018636875
2,2060-2079,15.37167665625
2,2080-2099,15.9801128125
3,2020-2039,18.3857436875
3,2040-2059,18.925468312499998
3,2060-2079,19.4487945
3,2080-2099,20.058572
4,2020-2039,22.8219239375
4,2040-2059,23.340157999999995
4,2060-2079,23.8191068125
4,2080-2099,24.56724925
5,2020-2039,26.811306
5,2040-2059,27.184295437499998
5,2060-2079,27.928136937499996
5,2080-2099,28.627948624999995
6,2020-2039,30.391279062500004
6,2040-2059,31.020904749999996
6,2060-2079,31.7546053125
6,2080-2099,32.426305625000005
7,2020-2039,31.856908249999996
7,2040-2059,32.40518043750001
7,2060-2079,33.148213875
7,2080-2099,33.9574475
8,2020-2039,30.8685358125
8,2040-2059,31.672859312499998
8,2060-2079,32.414122625
8,2080-2099,33.3109083125
9,2020-2039,27.889254625000003
9,2040-2059,28.509488875
9,2060-2079,29.203709687499998
9,2080-2099,30.043703937500002
10,2020-2039,22.938117124999998
10,2040-2059,23.493331187499994
10,2060-2079,24.1576205
10,2080-2099,24.9133274375
11,2020-2039,17.2320343125
11,2040-2059,17.670798187499997
11,2060-2079,18.282275000000002
11,2080-2099,19.018106375
12,2020-2039,12.87616334375
12,2040-2059,13.4221676875
12,2060-2079,13.9136213125
12,2080-2099,14.57158515625
