Month,Year,Monthly Temperature - (Celsius)
1,2020-2039,9.1756825625
1,2040-2059,9.67801070625
1,2060-2079,10.480760625
1,2080-2099,11.14565509375
2,2020-2039,11.808368249999997
2,2040-2059,12.451639562499999
2,2060-2079,13.16647834375
2,2080-2099,14.007874937499999
3,2020-2039,16.788350562500003
3,2040-2059,17.415580249999998
3,2060-2079,18.3250075625
3,2080-2099,18.9322786875
4,2020-2039,22.508964312499998
4,2040-2059,22.9839345
4,2060-2079,23.801368375000003
4,2080-2099,24.5554058125
5,2020-2039,27.612199062499993
5,2040-2059,28.0069014375
5,2060-2079,28.6954800625
5,2080-2099,29.3964775
6,2020-2039,30.599325125
6,2040-2059,31.080673437499996
6,2060-2079,31.754740374999997
6,2080-2099,32.5672385625
7,2020-2039,31.076549562499995
7,2040-2059,31.551716624999997
7,2060-2079,32.116596187499994
7,2080-2099,32.8776921875
8,2020-2039,29.848773562500007
8,2040-2059,30.451058937499997
8,2060-2079,31.117062500000003
8,2080-2099,31.7956070625
9,2020-2039,27.49618575
9,2040-2059,28.204403375000002
9,2060-2079,28.8040604375
9,2080-2099,29.5351529375
10,2020-2039,22.5918053125
10,2040-2059,23.3312358125
10,2060-2079,23.974551937500003
10,2080-2099,24.843357750000003
11,2020-2039,15.864938124999998
11,2040-2059,16.38138725
11,2060-2079,17.2177978125
11,2080-2099,18.10926975
12,2020-2039,10.3574185625
12,2040-2059,10.908373999999998
12,2060-2079,11.93807553125
12,2080-2099,12.588194468749998
