Month,Year,Monthly Temperature - (Celsius)
1,2020-2039,26.529418000000003
1,2040-2059,26.931830499999997
1,2060-2079,27.354330875
1,2080-2099,27.8468925625
2,2020-2039,26.836153625
2,2040-2059,27.272200937499996
2,2060-2079,27.684746062500004
2,2080-2099,28.183576812499993
3,2020-2039,27.168101187499996
3,2040-2059,27.585909250000004
3,2060-2079,27.967173375
3,2080-2099,28.4756804375
4,2020-2039,27.366535437499998
4,2040-2059,27.794245000000004
4,2060-2079,28.212311312500002
4,2080-2099,28.735699625
5,2020-2039,27.059883125000006
5,2040-2059,27.460737124999998
5,2060-2079,27.8838136875
5,2080-2099,28.3814603125
6,2020-2039,26.622610312499994
6,2040-2059,27.066413250000004
6,2060-2079,27.508174437499996
6,2080-2099,27.989570250000003
7,2020-2039,26.650949187500004
7,2040-2059,27.07268475
7,2060-2079,27.4979299375
7,2080-2099,27.996644125
8,2020-2039,26.7080091875
8,2040-2059,27.1248885625
8,2060-2079,27.570887125000006
8,2080-2099,28.056433499999997
9,2020-2039,26.696925500000003
9,2040-2059,27.1303599375
9,2060-2079,27.555216625
9,2080-2099,28.026743125
10,2020-2039,26.614391187499997
10,2040-2059,27.023426625
10,2060-2079,27.487445875
10,2080-2099,27.950385375
11,2020-2039,26.562441
11,2040-2059,26.965700124999998
11,2060-2079,27.397054937500002
11,2080-2099,27.90925775
12,2020-2039,26.45647975
12,2040-2059,26.886184375000003
12,2060-2079,27.314903499999993
12,2080-2099,27.803023375000002
