Month,Year,Monthly Temperature - (Celsius)
1,2020-2039,25.669393125000003
1,2040-2059,25.937634375
1,2060-2079,26.342294812500004
1,2080-2099,26.883895
2,2020-2039,25.606151375
2,2040-2059,25.882787000000004
2,2060-2079,26.26099325
2,2080-2099,26.770924562499996
3,2020-2039,26.372363500000002
3,2040-2059,26.65762375
3,2060-2079,27.02763975
3,2080-2099,27.5713365
4,2020-2039,27.547425249999996
4,2040-2059,27.87211275
4,2060-2079,28.2875578125
4,2080-2099,28.802548437499997
5,2020-2039,28.281691750000004
5,2040-2059,28.626956125
5,2060-2079,29.04929725
5,2080-2099,29.566268125
6,2020-2039,28.257705312500004
6,2040-2059,28.5362034375
6,2060-2079,28.995486125000003
6,2080-2099,29.507417125
7,2020-2039,27.952988875000003
7,2040-2059,28.237295437500002
7,2060-2079,28.657678937500002
7,2080-2099,29.160050249999998
8,2020-2039,27.866974937499993
8,2040-2059,28.165260625000002
8,2060-2079,28.5653824375
8,2080-2099,29.0156503125
9,2020-2039,27.830234625
9,2040-2059,28.139669124999998
9,2060-2079,28.531366437499994
9,2080-2099,28.981860250000004
10,2020-2039,27.6970185
10,2040-2059,28.019179812500003
10,2060-2079,28.3902818125
10,2080-2099,28.880729187499995
11,2020-2039,27.267577312500002
11,2040-2059,27.542642250000004
11,2060-2079,27.973177062500003
11,2080-2099,28.42530374999999
12,2020-2039,26.4828736875
12,2040-2059,26.7617639375
12,2060-2079,27.197004874999998
12,2080-2099,27.663341062500002
