Month,Year,Monthly Temperature - (Celsius)
1,2020-2039,0.454134966875
1,2040-2059,1.195368591125
1,2060-2079,1.6391824387500002
1,2080-2099,2.096734267
2,2020-2039,1.13812529375
2,2040-2059,1.83002810525
2,2060-2079,2.447357613125
2,2080-2099,2.767893285625
3,2020-2039,4.0816667825
3,2040-2059,4.78446575
3,2060-2079,5.3093132125
3,2080-2099,5.61863780625
4,2020-2039,8.946971474999998
4,2040-2059,9.659275868749999
4,2060-2079,9.876413724999999
4,2080-2099,10.5183108
5,2020-2039,14.468241124999999
5,2040-2059,14.874341125
5,2060-2079,15.5305090625
5,2080-2099,15.971919406249999
6,2020-2039,18.982650437500002
6,2040-2059,19.5658711875
6,2060-2079,20.1736228125
6,2080-2099,20.766349812499996
7,2020-2039,20.9498158125
7,2040-2059,21.727174937499996
7,2060-2079,22.303482062500002
7,2080-2099,23.1385554375
8,2020-2039,19.394082187500004
8,2040-2059,20.1600381875
8,2060-2079,20.969486187499996
8,2080-2099,21.818254999999997
9,2020-2039,15.047716125
9,2040-2059,15.790882781249998
9,2060-2079,16.328238499999998
9,2080-2099,17.1779213125
10,2020-2039,9.8597365625
10,2040-2059,10.444028812500001
10,2060-2079,10.79921378125
10,2080-2099,11.56554865625
11,2020-2039,5.002241968750001
11,2040-2059,5.5413461375
11,2060-2079,5.91982180625
11,2080-2099,6.6800101125
12,2020-2039,1.7386040787500001
12,2040-2059,2.708678345625
12,2060-2079,2.909712520625
12,2080-2099,3.8245078375000006
