Month,Year,Monthly Temperature - (Celsius)
1,2020-2039,25.362615374999997
1,2040-2059,25.725617437499995
1,2060-2079,26.1238151875
1,2080-2099,26.565430624999998
2,2020-2039,25.346214250000003
2,2040-2059,25.688264375000003
2,2060-2079,26.070118250000004
2,2080-2099,26.498318125000004
3,2020-2039,25.7362954375
3,2040-2059,26.020660625
3,2060-2079,26.4341506875
3,2080-2099,26.880428499999997
4,2020-2039,26.2317210625
4,2040-2059,26.516782124999995
4,2060-2079,26.934612937500003
4,2080-2099,27.386703750000002
5,2020-2039,26.608174812500003
5,2040-2059,26.8939948125
5,2060-2079,27.330340124999992
5,2080-2099,27.7172226875
6,2020-2039,26.8272115
6,2040-2059,27.1628494375
6,2060-2079,27.609419437499998
6,2080-2099,28.019586437500003
7,2020-2039,27.167570062499998
7,2040-2059,27.558924375
7,2060-2079,28.017154749999996
7,2080-2099,28.44602975
8,2020-2039,27.6281250625
8,2040-2059,28.01826975
8,2060-2079,28.503187562500006
8,2080-2099,28.924875687500005
9,2020-2039,27.775685687499998
9,2040-2059,28.147669125
9,2060-2079,28.6011165625
9,2080-2099,29.05512575
10,2020-2039,27.486971375000003
10,2040-2059,27.8418256875
10,2060-2079,28.2832745625
10,2080-2099,28.710675625
11,2020-2039,26.849844937499995
11,2040-2059,27.220035625
11,2060-2079,27.668480125
11,2080-2099,28.084160062499997
12,2020-2039,25.96757025
12,2040-2059,26.34719825
12,2060-2079,26.7579195625
12,2080-2099,27.1883824375
