Month,Year,Monthly Temperature - (Celsius)
1,2020-2039,11.3648115
1,2040-2059,11.865959250000003
1,2060-2079,12.247920437500001
1,2080-2099,12.76983228125
2,2020-2039,13.050319718750002
2,2040-2059,13.703264625
2,2060-2079,14.0865755625
2,2080-2099,14.528087218749997
3,2020-2039,15.992973843749999
3,2040-2059,16.583992000000002
3,2060-2079,17.1286785625
3,2080-2099,17.615671874999997
4,2020-2039,19.563255625
4,2040-2059,20.245011437499997
4,2060-2079,20.541233374999997
4,2080-2099,21.359137375
5,2020-2039,23.568046375
5,2040-2059,24.08442825
5,2060-2079,24.6226581875
5,2080-2099,25.648367999999998
6,2020-2039,28.0218221875
6,2040-2059,28.596920625000006
6,2060-2079,29.342750187500002
6,2080-2099,30.154767187499996
7,2020-2039,31.0948884375
7,2040-2059,31.5511751875
7,2060-2079,32.314836937500004
7,2080-2099,33.2723315625
8,2020-2039,30.264274437500003
8,2040-2059,30.948616124999997
8,2060-2079,31.819457875
8,2080-2099,32.81128956250001
9,2020-2039,26.412778249999995
9,2040-2059,26.978807624999995
9,2060-2079,27.767890812500006
9,2080-2099,28.628182062499995
10,2020-2039,21.084206375
10,2040-2059,21.7850453125
10,2060-2079,22.2501986875
10,2080-2099,23.0850200625
11,2020-2039,15.919014125000002
11,2040-2059,16.3639855
11,2060-2079,16.843202281249997
11,2080-2099,17.671515624999998
12,2020-2039,12.15796878125
12,2040-2059,12.6301066875
12,2060-2079,13.125404437499999
12,2080-2099,13.79922296875
