Month,Year,Monthly Temperature - (Celsius)
1,2020-2039,23.390138000000007
1,2040-2059,23.96206825
1,2060-2079,24.445640875
1,2080-2099,25.1756703125
2,2020-2039,23.257876500000002
2,2040-2059,23.708914187500007
2,2060-2079,24.260255250000004
2,2080-2099,24.868718624999996
3,2020-2039,22.070488812500002
3,2040-2059,22.57891925
3,2060-2079,23.055471187500004
3,2080-2099,23.654208
4,2020-2039,19.2475774375
4,2040-2059,19.7929965
4,2060-2079,20.297380562500003
4,2080-2099,20.967143250000003
5,2020-2039,15.345296062500001
5,2040-2059,15.780084374999998
5,2060-2079,16.33588278125
5,2080-2099,17.144557125000002
6,2020-2039,12.30829203125
6,2040-2059,12.858181843750002
6,2060-2079,13.371934125000001
6,2080-2099,14.021365625000001
7,2020-2039,11.8441225
7,2040-2059,12.34819884375
7,2060-2079,12.9301801875
7,2080-2099,13.662055812500002
8,2020-2039,13.757783656250002
8,2040-2059,14.07064921875
8,2060-2079,14.7364973125
8,2080-2099,15.476922625
9,2020-2039,16.613386781250004
9,2040-2059,17.1537740625
9,2060-2079,17.861848062500002
9,2080-2099,18.544565
10,2020-2039,19.245502187499994
10,2040-2059,19.8554218125
10,2060-2079,20.45833675
10,2080-2099,21.2243219375
11,2020-2039,21.081787749999997
11,2040-2059,21.648432562500002
11,2060-2079,22.267129937500005
11,2080-2099,22.950486125
12,2020-2039,22.5602544375
12,2040-2059,23.107846374999998
12,2060-2079,23.6885014375
12,2080-2099,24.338251875
