Month,Year,Monthly Temperature - (Celsius)
1,2020-2039,1.279178271875
1,2040-2059,2.3341108187499997
1,2060-2079,3.6096632420625
1,2080-2099,4.982605268750001
2,2020-2039,3.679716744375
2,2040-2059,4.55813343125
2,2060-2079,6.167382493750001
2,2080-2099,7.24409983125
3,2020-2039,8.657780775
3,2040-2059,9.717018631250001
3,2060-2079,11.007599343750002
3,2080-2099,12.482964687499999
4,2020-2039,14.364989625000002
4,2040-2059,15.516953218750002
4,2060-2079,16.935234625
4,2080-2099,18.304369375
5,2020-2039,20.395138875
5,2040-2059,21.525125999999997
5,2060-2079,23.020681437500002
5,2080-2099,24.564549749999994
6,2020-2039,25.539005624999998
6,2040-2059,26.650404437499997
6,2060-2079,28.173222937499997
6,2080-2099,29.701689500000008
7,2020-2039,27.774953375
7,2040-2059,29.07611899999999
7,2060-2079,30.441823125
7,2080-2099,32.00712575
8,2020-2039,26.552723874999998
8,2040-2059,27.822493124999998
8,2060-2079,29.164742
8,2080-2099,30.822862250000004
9,2020-2039,22.012173249999996
9,2040-2059,23.119961375
9,2060-2079,24.587559375
9,2080-2099,26.229216687500006
10,2020-2039,15.159179093749998
10,2040-2059,16.216386749999998
10,2060-2079,17.8240968125
10,2080-2099,19.3230309375
11,2020-2039,7.89392505625
11,2040-2059,8.94304685
11,2060-2079,10.44842480625
11,2080-2099,11.814375718750002
12,2020-2039,2.799965645625
12,2040-2059,3.765179170625
12,2060-2079,5.153269606249999
12,2080-2099,6.45324050625
