Month,Year,Monthly Temperature - (Celsius)
1,2020-2039,27.555538687500004
1,2040-2059,28.6277986875
1,2060-2079,29.488364500000003
1,2080-2099,30.599652125
2,2020-2039,29.2796525
2,2040-2059,30.319078687499996
2,2060-2079,31.340509875000002
2,2080-2099,32.3883963125
3,2020-2039,30.725746687500003
3,2040-2059,31.8175821875
3,2060-2079,32.8354619375
3,2080-2099,33.8328160625
4,2020-2039,30.386202625000006
4,2040-2059,31.324228187499997
4,2060-2079,32.326893
4,2080-2099,33.385478250000006
5,2020-2039,29.044651375000004
5,2040-2059,30.016953875000002
5,2060-2079,30.9798545625
5,2080-2099,31.9858028125
6,2020-2039,27.90200925
6,2040-2059,28.786921500000002
6,2060-2079,29.777463625000003
6,2080-2099,30.865082687500003
7,2020-2039,26.977548500000005
7,2040-2059,27.768196312500002
7,2060-2079,28.7869130625
7,2080-2099,29.7530861875
8,2020-2039,26.38934575
8,2040-2059,27.195044874999997
8,2060-2079,28.133126999999998
8,2080-2099,29.059708937499995
9,2020-2039,26.687215625
9,2040-2059,27.54142725
9,2060-2079,28.438028937500004
9,2080-2099,29.361952437499998
10,2020-2039,27.3805805625
10,2040-2059,28.2628663125
10,2060-2079,29.160815750000005
10,2080-2099,30.040123812500003
11,2020-2039,27.495999374999997
11,2040-2059,28.427404499999998
11,2060-2079,29.436702812500002
11,2080-2099,30.509787000000003
12,2020-2039,26.927645062500005
12,2040-2059,27.845235000000002
12,2060-2079,28.8109623125
12,2080-2099,29.951257812499996
