Month,Year,Monthly Temperature - (Celsius)
1,2020-2039,25.3025523125
1,2040-2059,25.854429812499998
1,2060-2079,26.600282687500002
1,2080-2099,27.306207
2,2020-2039,25.009397750000005
2,2040-2059,25.5501735625
2,2060-2079,26.2828491875
2,2080-2099,26.947608687500004
3,2020-2039,25.1314035
3,2040-2059,25.6830845
3,2060-2079,26.3776240625
3,2080-2099,27.0452849375
4,2020-2039,25.523338875000004
4,2040-2059,26.082121375
4,2060-2079,26.790590687500003
4,2080-2099,27.4190833125
5,2020-2039,26.0192270625
5,2040-2059,26.552201375000003
5,2060-2079,27.2726321875
5,2080-2099,27.906568687500005
6,2020-2039,26.546786812500002
6,2040-2059,27.085508875000002
6,2060-2079,27.828284874999994
6,2080-2099,28.4600508125
7,2020-2039,27.0577216875
7,2040-2059,27.6381546875
7,2060-2079,28.443844499999997
7,2080-2099,29.101486375000004
8,2020-2039,27.5607268125
8,2040-2059,28.189258624999994
8,2060-2079,29.007385125
8,2080-2099,29.707572562500005
9,2020-2039,27.778948812499998
9,2040-2059,28.4108450625
9,2060-2079,29.212054687499993
9,2080-2099,29.932608437499997
10,2020-2039,27.5619158125
10,2040-2059,28.172794812499994
10,2060-2079,28.971182374999998
10,2080-2099,29.7076415
11,2020-2039,26.959962375
11,2040-2059,27.56851193749999
11,2060-2079,28.334229875
11,2080-2099,29.070479
12,2020-2039,26.080812750000003
12,2040-2059,26.659344750000002
12,2060-2079,27.40101525
12,2080-2099,28.1119948125
