Month,Year,Monthly Temperature - (Celsius)
1,2020-2039,25.331774562499994
1,2040-2059,26.296537312499993
1,2060-2079,27.3090983125
1,2080-2099,28.435580624999997
2,2020-2039,27.184515687500003
2,2040-2059,28.0683638125
2,2060-2079,29.199563875000006
2,2080-2099,30.373266312500004
3,2020-2039,27.963353687499993
3,2040-2059,28.882767500000007
3,2060-2079,29.960229124999998
3,2080-2099,31.092684687499997
4,2020-2039,27.1734928125
4,2040-2059,27.9031985
4,2060-2079,28.9696386875
4,2080-2099,30.033213125
5,2020-2039,26.2529914375
5,2040-2059,27.079031937500005
5,2060-2079,28.1338745
5,2080-2099,29.1892725625
6,2020-2039,25.6289815
6,2040-2059,26.496163499999994
6,2060-2079,27.57080325
6,2080-2099,28.69199425
7,2020-2039,25.405509625
7,2040-2059,26.250043375000004
7,2060-2079,27.3611874375
7,2080-2099,28.437808062500004
8,2020-2039,25.4083965625
8,2040-2059,26.236275499999998
8,2060-2079,27.301711750000003
8,2080-2099,28.370723375
9,2020-2039,25.452939875000002
9,2040-2059,26.300672625000004
9,2060-2079,27.292701625000003
9,2080-2099,28.334356687499994
10,2020-2039,25.515896937500003
10,2040-2059,26.32604
10,2060-2079,27.276769562500004
10,2080-2099,28.2596475
11,2020-2039,25.264077625
11,2040-2059,26.166257312499997
11,2060-2079,27.1279258125
11,2080-2099,28.1897305
12,2020-2039,24.6130864375
12,2040-2059,25.537140875000002
12,2060-2079,26.610405812499998
12,2080-2099,27.801290687500003
