Month,Year,Monthly Temperature - (Celsius)
1,2020-2039,12.867688437499998
1,2040-2059,13.887061031250003
1,2080-2099,15.91510890625
2,2020-2039,15.5096260625
2,2040-2059,16.4265069375
2,2080-2099,18.786095874999997
3,2020-2039,19.415897125
3,2040-2059,20.665911874999995
3,2080-2099,22.978971249999997
4,2020-2039,23.712950625000005
4,2040-2059,24.943716812500003
4,2080-2099,27.588092
5,2020-2039,28.1093655625
5,2040-2059,29.235082375
5,2080-2099,32.02812918750001
6,2020-2039,32.285581687500006
6,2040-2059,33.410680187500006
6,2080-2099,36.45813975
7,2020-2039,34.66161674999999
7,2040-2059,35.951123124999995
7,2080-2099,39.1228926875
8,2020-2039,33.757975625
8,2040-2059,35.173215
8,2080-2099,38.2746583125
9,2020-2039,29.972842000000004
9,2040-2059,31.2241806875
9,2080-2099,34.1882310625
10,2020-2039,24.2077565625
10,2040-2059,25.395238250000002
10,2080-2099,28.224267562500003
11,2020-2039,17.978826374999997
11,2040-2059,18.9743353125
11,2080-2099,21.57655975
12,2020-2039,13.650353125
12,2040-2059,14.674083937500003
12,2080-2099,16.796004
