Month,Year,Monthly Temperature - (Celsius)
1,2020-2039,27.742235124999997
1,2040-2059,28.587386125
1,2060-2079,29.608545125000003
1,2080-2099,30.653215687499998
2,2020-2039,29.3716834375
2,2040-2059,30.2226995625
2,2060-2079,31.2031485625
2,2080-2099,32.171102437500004
3,2020-2039,30.753788999999998
3,2040-2059,31.514061124999998
3,2060-2079,32.4653918125
3,2080-2099,33.36202875
4,2020-2039,30.90436225
4,2040-2059,31.5543981875
4,2060-2079,32.56369475
4,2080-2099,33.385940250000004
5,2020-2039,30.153107562499997
5,2040-2059,30.839250437500006
5,2060-2079,31.8736790625
5,2080-2099,32.773870562499994
6,2020-2039,28.7512541875
6,2040-2059,29.533891812500002
6,2060-2079,30.599154125000002
6,2080-2099,31.555939999999996
7,2020-2039,27.5735814375
7,2040-2059,28.333984437500003
7,2060-2079,29.360653875
7,2080-2099,30.3129413125
8,2020-2039,26.926237624999995
8,2040-2059,27.656658812500005
8,2060-2079,28.671938937500002
8,2080-2099,29.580692937500004
9,2020-2039,27.136313625000003
9,2040-2059,27.853804000000004
9,2060-2079,28.8123414375
9,2080-2099,29.747224437499998
10,2020-2039,27.89194425
10,2040-2059,28.685583375
10,2060-2079,29.6180801875
10,2080-2099,30.560652687499996
11,2020-2039,27.959506062499997
11,2040-2059,28.793221062500002
11,2060-2079,29.845639624999997
11,2080-2099,30.957012624999997
12,2020-2039,27.339830624999998
12,2040-2059,28.252231437499997
12,2060-2079,29.245863125000003
12,2080-2099,30.310629125000006
