Month,Year,Monthly Temperature - (Celsius)
1,2020-2039,18.376150624999998
1,2040-2059,19.321763375
1,2060-2079,20.239773812500005
1,2080-2099,21.3629864375
2,2020-2039,20.857737125000003
2,2040-2059,21.8670455
2,2060-2079,22.792187999999996
2,2080-2099,23.951256625
3,2020-2039,24.4788605625
3,2040-2059,25.467407687500003
3,2060-2079,26.4917014375
3,2080-2099,27.596648687500004
4,2020-2039,27.415917937499998
4,2040-2059,28.420828624999995
4,2060-2079,29.45266825
4,2080-2099,30.5325114375
5,2020-2039,27.92820475
5,2040-2059,28.802439375000002
5,2060-2079,29.9007765
5,2080-2099,30.822718
6,2020-2039,26.796680812499996
6,2040-2059,27.596508062499996
6,2060-2079,28.5554426875
6,2080-2099,29.471826937499994
7,2020-2039,25.804954187499998
7,2040-2059,26.5674541875
7,2060-2079,27.4025438125
7,2080-2099,28.312120749999995
8,2020-2039,25.683324437499998
8,2040-2059,26.4199868125
8,2060-2079,27.26318125
8,2080-2099,28.143261375000005
9,2020-2039,25.468112625
9,2040-2059,26.250949999999996
9,2060-2079,27.190056375
9,2080-2099,28.066550124999992
10,2020-2039,24.171053062499997
10,2040-2059,24.9776595
10,2060-2079,25.966904875000004
10,2080-2099,26.7977979375
11,2020-2039,21.4176036875
11,2040-2059,22.2954025
11,2060-2079,23.21881725
11,2080-2099,24.1654741875
12,2020-2039,18.581723937499998
12,2040-2059,19.565618749999995
12,2060-2079,20.544046375
12,2080-2099,21.581331000000002
