Month,Year,Monthly Temperature - (Celsius)
1,2020-2039,24.969114
1,2040-2059,25.7930755
1,2060-2079,26.916430624999997
1,2080-2099,28.2443403125
2,2020-2039,24.601792125000003
2,2040-2059,25.4522268125
2,2060-2079,26.454683249999995
2,2080-2099,27.515773250000006
3,2020-2039,24.086176875
3,2040-2059,24.922644375
3,2060-2079,26.0142203125
3,2080-2099,27.061861062499993
4,2020-2039,23.0723344375
4,2040-2059,23.747184187500004
4,2060-2079,24.979676125
4,2080-2099,26.072635312499997
5,2020-2039,21.089666812500003
5,2040-2059,21.882612000000005
5,2060-2079,23.120861062499998
5,2080-2099,24.294194375
6,2020-2039,18.9647926875
6,2040-2059,19.890989187499997
6,2060-2079,21.08824075
6,2080-2099,22.188060000000004
7,2020-2039,18.519186125
7,2040-2059,19.385302125
7,2060-2079,20.532658249999994
7,2080-2099,21.627035499999998
8,2020-2039,20.249833437499998
8,2040-2059,20.958629000000002
8,2060-2079,22.1700675625
8,2080-2099,23.2894161875
9,2020-2039,23.394349499999993
9,2040-2059,24.149986437499997
9,2060-2079,25.4950411875
9,2080-2099,26.6186196875
10,2020-2039,26.483895750000002
10,2040-2059,27.386307937499996
10,2060-2079,28.6789008125
10,2080-2099,29.9154306875
11,2020-2039,27.047765500000004
11,2040-2059,28.316095687500002
11,2060-2079,29.602929062499996
11,2080-2099,31.041864437500003
12,2020-2039,25.795140312500003
12,2040-2059,26.695069125
12,2060-2079,28.084439250000003
12,2080-2099,29.4032221875
