Month,Year,Monthly Temperature - (Celsius)
1,2020-2039,4.97329383125
1,2040-2059,5.662427781250001
1,2060-2079,6.57161931875
1,2080-2099,7.291140343750001
2,2020-2039,5.3406093187499994
2,2040-2059,5.87382930625
2,2060-2079,6.6441400687500005
2,2080-2099,7.482528
3,2020-2039,6.7818472875
3,2040-2059,7.471198331249999
3,2060-2079,8.09580585
3,2080-2099,8.85975436875
4,2020-2039,9.679054981250001
4,2040-2059,10.411859968749999
4,2060-2079,11.0422131875
4,2080-2099,11.859399437499999
5,2020-2039,13.664107875
5,2040-2059,14.1737649375
5,2060-2079,15.18056275
5,2080-2099,16.005503906250002
6,2020-2039,17.407393312499998
6,2040-2059,18.3832008125
6,2060-2079,19.3141355
6,2080-2099,20.3120413125
7,2020-2039,19.6406928125
7,2040-2059,20.632410500000002
7,2060-2079,21.64320875
7,2080-2099,22.755060125000004
8,2020-2039,18.9853823125
8,2040-2059,19.949514750000002
8,2060-2079,21.0603093125
8,2080-2099,22.3583055
9,2020-2039,15.911602
9,2040-2059,16.816635187499998
9,2060-2079,17.867138625
9,2080-2099,18.94494575
10,2020-2039,11.877566124999998
10,2040-2059,12.583437593749997
10,2060-2079,13.39346425
10,2080-2099,14.289574999999997
11,2020-2039,8.322818187499998
11,2040-2059,8.773552168750001
11,2060-2079,9.649166781250003
11,2080-2099,10.569644937500003
12,2020-2039,6.0237969625
12,2040-2059,6.601109650000001
12,2060-2079,7.555925374999999
12,2080-2099,8.327872725
