Month,Year,Monthly Temperature - (Celsius)
1,2020-2039,20.1157985625
1,2040-2059,21.0495118125
1,2060-2079,22.104922687499997
1,2080-2099,23.253516875000003
2,2020-2039,21.694784937500003
2,2040-2059,22.5177576875
2,2060-2079,23.695546437500003
2,2080-2099,24.7472876875
3,2020-2039,25.1443245625
3,2040-2059,26.065289437499995
3,2060-2079,27.2135610625
3,2080-2099,28.359407125
4,2020-2039,29.200427875000003
4,2040-2059,30.220356125000002
4,2060-2079,31.527787062500003
4,2080-2099,32.677394562500005
5,2020-2039,32.8583849375
5,2040-2059,33.828836562499994
5,2060-2079,35.048459062499994
5,2080-2099,36.239062375
6,2020-2039,34.6381534375
6,2040-2059,35.62064625
6,2060-2079,36.608950500000006
6,2080-2099,37.70465356249999
7,2020-2039,34.154654375
7,2040-2059,35.01250681250001
7,2060-2079,36.0141335625
7,2080-2099,36.86490543749999
8,2020-2039,33.330592124999995
8,2040-2059,34.1184125
8,2060-2079,35.0934021875
8,2080-2099,36.1180559375
9,2020-2039,32.196668375
9,2040-2059,33.058161875
9,2060-2079,34.121699937500004
9,2080-2099,34.98628949999999
10,2020-2039,29.54994675
10,2040-2059,30.432307937499996
10,2060-2079,31.6025568125
10,2080-2099,32.7337453125
11,2020-2039,25.430518312500006
11,2040-2059,26.319353375000002
11,2060-2079,27.6857215
11,2080-2099,28.818527
12,2020-2039,21.552414249999995
12,2040-2059,22.4636205
12,2060-2079,23.6704904375
12,2080-2099,24.814342062500003
