Month,Year,Monthly Temperature - (Celsius)
1,2020-2039,25.808111312500003
1,2040-2059,26.493827187500003
1,2060-2079,27.314320000000006
1,2080-2099,28.112496062499996
2,2020-2039,25.824964124999997
2,2040-2059,26.499941812499998
2,2060-2079,27.30011725
2,2080-2099,28.073305500000004
3,2020-2039,25.801314062500005
3,2040-2059,26.43069625
3,2060-2079,27.2096769375
3,2080-2099,28.011415250000002
4,2020-2039,25.64928825
4,2040-2059,26.274551874999997
4,2060-2079,27.108107124999997
4,2080-2099,27.9006750625
5,2020-2039,25.176209937500005
5,2040-2059,25.83643025
5,2060-2079,26.676466999999995
5,2080-2099,27.504748875000004
6,2020-2039,24.559634875
6,2040-2059,25.2258543125
6,2060-2079,26.097226000000003
6,2080-2099,26.954553500000003
7,2020-2039,24.2231960625
7,2040-2059,24.919299
7,2060-2079,25.757911124999996
7,2080-2099,26.6469940625
8,2020-2039,24.363188624999996
8,2040-2059,25.095048
8,2060-2079,25.936479499999997
8,2080-2099,26.806739250000003
9,2020-2039,24.7800151875
9,2040-2059,25.501049875000003
9,2060-2079,26.349669312499998
9,2080-2099,27.1998435
10,2020-2039,25.1744515
10,2040-2059,25.871358125
10,2060-2079,26.692089375000002
10,2080-2099,27.563226187499996
11,2020-2039,25.485986687500006
11,2040-2059,26.182571375000006
11,2060-2079,27.003134000000003
11,2080-2099,27.83975625
12,2020-2039,25.706345312499998
12,2040-2059,26.38290325
12,2060-2079,27.227146875
12,2080-2099,28.075637499999996
