Month,Year,Monthly Temperature - (Celsius)
1,2020-2039,22.758440312500003
1,2040-2059,23.828215750000002
1,2060-2079,24.777224312500003
1,2080-2099,25.929767625
2,2020-2039,24.934651874999993
2,2040-2059,25.792649812500006
2,2060-2079,26.966255375
2,2080-2099,28.111567375
3,2020-2039,27.902509687500004
3,2040-2059,28.913363
3,2060-2079,29.907932499999998
3,2080-2099,31.172518687500002
4,2020-2039,29.831094687499995
4,2040-2059,30.678383062499996
4,2060-2079,31.894765125000003
4,2080-2099,33.045579124999996
5,2020-2039,30.4549741875
5,2040-2059,31.4128640625
5,2060-2079,32.706184500000006
5,2080-2099,33.8715980625
6,2020-2039,30.8301303125
6,2040-2059,31.896961624999996
6,2060-2079,33.155890312500006
6,2080-2099,34.524339687499996
7,2020-2039,30.514298437499995
7,2040-2059,31.540159187499995
7,2060-2079,32.8580289375
7,2080-2099,34.0171280625
8,2020-2039,30.052904562500004
8,2040-2059,30.968377062500004
8,2060-2079,32.181610437500005
8,2080-2099,33.3606185
9,2020-2039,29.801424937500002
9,2040-2059,30.659634812500002
9,2060-2079,31.834852437499997
9,2080-2099,32.9134384375
10,2020-2039,28.5722408125
10,2040-2059,29.587985187500003
10,2060-2079,30.738487437499998
10,2080-2099,31.824718374999996
11,2020-2039,25.78946275
11,2040-2059,26.918603687500003
11,2060-2079,28.029854562500002
11,2080-2099,29.231300874999995
12,2020-2039,23.116465
12,2040-2059,24.132987562500002
12,2060-2079,25.278897499999996
12,2080-2099,26.544680000000003
