Month,Year,Monthly Temperature - (Celsius)
1,2020-2039,25.732400625000004
1,2040-2059,26.6706409375
1,2060-2079,27.590265875000004
1,2080-2099,28.601927
2,2020-2039,26.999665437500006
2,2040-2059,27.881494
2,2060-2079,28.774064999999997
2,2080-2099,29.783160125000002
3,2020-2039,27.897027125
3,2040-2059,28.681379625000005
3,2060-2079,29.651665000000005
3,2080-2099,30.606984625000003
4,2020-2039,27.783453249999997
4,2040-2059,28.4981129375
4,2060-2079,29.47144525
4,2080-2099,30.420443625
5,2020-2039,27.113209125
5,2040-2059,27.881697124999995
5,2060-2079,28.782358374999994
5,2080-2099,29.751268999999997
6,2020-2039,26.28910075
6,2040-2059,27.03864925
6,2060-2079,27.920466625000003
6,2080-2099,28.895606437500007
7,2020-2039,25.6511665
7,2040-2059,26.347576
7,2060-2079,27.23981425
7,2080-2099,28.122886437499993
8,2020-2039,25.2883040625
8,2040-2059,25.968913624999995
8,2060-2079,26.839036625
8,2080-2099,27.687152125
9,2020-2039,25.473782375
9,2040-2059,26.2081475625
9,2060-2079,27.047945249999994
9,2080-2099,27.930560312500003
10,2020-2039,25.9860165625
10,2040-2059,26.717061875
10,2060-2079,27.577961500000004
10,2080-2099,28.414734375000002
11,2020-2039,26.157636874999998
11,2040-2059,26.953199187499997
11,2060-2079,27.90733475
11,2080-2099,28.866298437499996
12,2020-2039,25.4089178125
12,2040-2059,26.317566
12,2060-2079,27.323083812500002
12,2080-2099,28.336653874999996
