Month,Year,Monthly Max-Temperature - (Celsius)
1,2020-2039,29.115879
1,2040-2059,29.398517000000005
1,2060-2079,29.427280437499995
1,2080-2099,29.370809562499996
2,2020-2039,28.482353625000002
2,2040-2059,28.660744500000007
2,2060-2079,28.74448775
2,2080-2099,28.696575749999997
3,2020-2039,25.73441875
3,2040-2059,25.8759489375
3,2060-2079,26.076994
3,2080-2099,26.031892312500002
4,2020-2039,21.3467008125
4,2040-2059,21.4325714375
4,2060-2079,21.5411086875
4,2080-2099,21.613711812500004
5,2020-2039,17.172594593750002
5,2040-2059,17.378460937499998
5,2060-2079,17.471066250000003
5,2080-2099,17.481151
6,2020-2039,14.50443490625
6,2040-2059,14.569065937500001
6,2060-2079,14.767727968749998
6,2080-2099,14.723538875000003
7,2020-2039,14.055736531250002
7,2040-2059,14.304292937499998
7,2060-2079,14.3921599375
7,2080-2099,14.4028008125
8,2020-2039,16.028985000000002
8,2040-2059,16.2428046875
8,2060-2079,16.3463646875
8,2080-2099,16.2656728125
9,2020-2039,18.7826190625
9,2040-2059,19.148633937499998
9,2060-2079,19.1623701875
9,2080-2099,19.187330250000006
10,2020-2039,22.160224562499998
10,2040-2059,22.258317562500004
10,2060-2079,22.3061620625
10,2080-2099,22.303195749999997
11,2020-2039,25.3015801875
11,2040-2059,25.5448784375
11,2060-2079,25.48898225
11,2080-2099,25.451897875
12,2020-2039,27.829220375000002
12,2040-2059,28.053931437500005
12,2060-2079,28.06513925
12,2080-2099,28.114873124999995
