Month,Year,Monthly Max-Temperature - (Celsius)
1,2020-2039,35.3301713125
1,2040-2059,35.695769
1,2060-2079,35.702304749999996
1,2080-2099,35.91021525
2,2020-2039,34.567328375
2,2040-2059,35.002778937500004
2,2060-2079,35.039154499999995
2,2080-2099,35.08794975
3,2020-2039,32.4893110625
3,2040-2059,32.799685187499996
3,2060-2079,32.863677875
3,2080-2099,33.104312437500006
4,2020-2039,29.358608999999998
4,2040-2059,29.512945874999996
4,2060-2079,29.592929624999996
4,2080-2099,29.648691125
5,2020-2039,24.971371562500003
5,2040-2059,25.057634375
5,2060-2079,25.0886405
5,2080-2099,25.1410836875
6,2020-2039,21.170773249999996
6,2040-2059,21.341239187499994
6,2060-2079,21.421350874999998
6,2080-2099,21.4100229375
7,2020-2039,20.706517500000004
7,2040-2059,20.926203437500003
7,2060-2079,20.8297333125
7,2080-2099,20.825548125
8,2020-2039,23.0983495625
8,2040-2059,23.53453375
8,2060-2079,23.378674375
8,2080-2099,23.447371937499998
9,2020-2039,27.228302375
9,2040-2059,27.506170312500004
9,2060-2079,27.4686189375
9,2080-2099,27.651988624999998
10,2020-2039,31.164397062499997
10,2040-2059,31.345276375
10,2060-2079,31.294908874999994
10,2080-2099,31.540073687499994
11,2020-2039,33.69608175
11,2040-2059,33.8527808125
11,2060-2079,33.87533787499999
11,2080-2099,33.9307530625
12,2020-2039,35.059092812500005
12,2040-2059,35.236602812499996
12,2060-2079,35.229403250000004
12,2080-2099,35.423947875
