Month,Year,Monthly Max-Temperature - (Celsius)
1,2020-2039,25.752558875
1,2040-2059,25.955578
1,2060-2079,26.199843874999996
1,2080-2099,26.070276437500002
2,2020-2039,28.6955044375
2,2040-2059,28.9000640625
2,2060-2079,29.17791775
2,2080-2099,29.0411556875
3,2020-2039,32.988428375
3,2040-2059,33.08049299999999
3,2060-2079,33.40986475
3,2080-2099,33.241865562499996
4,2020-2039,36.149960500000006
4,2040-2059,36.393179187499996
4,2060-2079,36.483695312500004
4,2080-2099,36.4868195625
5,2020-2039,36.410951375
5,2040-2059,36.574431125
5,2060-2079,36.981673375
5,2080-2099,36.92876581250001
6,2020-2039,34.467012937499995
6,2040-2059,34.885318937499996
6,2060-2079,35.1542383125
6,2080-2099,34.940236375
7,2020-2039,32.23186725
7,2040-2059,32.3284873125
7,2060-2079,32.614561125
7,2080-2099,32.6299048125
8,2020-2039,31.523384749999998
8,2040-2059,31.693853750000002
8,2060-2079,31.719607500000002
8,2080-2099,31.806967937500005
9,2020-2039,31.554408000000002
9,2040-2059,31.9451625
9,2060-2079,31.856076062499998
9,2080-2099,31.989808125000007
10,2020-2039,30.8212440625
10,2040-2059,31.018787874999997
10,2060-2079,31.174107499999998
10,2080-2099,31.110061937500003
11,2020-2039,28.360840999999997
11,2040-2059,28.6516354375
11,2060-2079,28.8906476875
11,2080-2099,28.764351
12,2020-2039,25.510692374999994
12,2040-2059,26.034619437500005
12,2060-2079,26.055351375
12,2080-2099,26.0757716875
