Month,Year,Monthly Max-Temperature - (Celsius)
1,2020-2039,23.529478062499997
1,2040-2059,23.687151625
1,2060-2079,23.774717687500004
1,2080-2099,23.629430875000004
2,2020-2039,23.2624598125
2,2040-2059,23.4349354375
2,2060-2079,23.42107325
2,2080-2099,23.3272420625
3,2020-2039,23.504771687500003
3,2040-2059,23.697579625
3,2060-2079,23.735194062500003
3,2080-2099,23.648722687500005
4,2020-2039,24.477311062499997
4,2040-2059,24.647929875
4,2060-2079,24.701660312500003
4,2080-2099,24.642102625
5,2020-2039,25.9074375
5,2040-2059,26.102338624999994
5,2060-2079,26.168641437499996
5,2080-2099,26.098239062500003
6,2020-2039,27.483132125000004
6,2040-2059,27.711937437499994
6,2060-2079,27.751239124999994
6,2080-2099,27.7176909375
7,2020-2039,28.5300811875
7,2040-2059,28.665168187499997
7,2060-2079,28.718554062499997
7,2080-2099,28.686738624999993
8,2020-2039,28.867666874999998
8,2040-2059,28.9997276875
8,2060-2079,29.014564249999996
8,2080-2099,29.0123513125
9,2020-2039,28.4506619375
9,2040-2059,28.6089096875
9,2060-2079,28.666269499999995
9,2080-2099,28.592794687500003
10,2020-2039,27.3499003125
10,2040-2059,27.5740708125
10,2060-2079,27.569268937499995
10,2080-2099,27.532511
11,2020-2039,25.8738888125
11,2040-2059,26.130794125
11,2060-2079,26.1253555
11,2080-2099,26.0251581875
12,2020-2039,24.5402286875
12,2040-2059,24.718534187500005
12,2060-2079,24.7182785
12,2080-2099,24.6807703125
