Month,Year,Monthly Max-Temperature - (Celsius)
1,2020-2039,8.98252958125
1,2040-2059,9.432765075
1,2060-2079,9.31322891875
1,2080-2099,9.263888431249999
2,2020-2039,9.74928691875
2,2040-2059,10.0152529375
2,2060-2079,10.019968725000002
2,2080-2099,9.901869325000002
3,2020-2039,12.086481531250001
3,2040-2059,12.29697925
3,2060-2079,12.2940694375
3,2080-2099,12.334953374999998
4,2020-2039,15.6256003125
4,2040-2059,15.895675562500001
4,2060-2079,15.790179624999997
4,2080-2099,15.82338675
5,2020-2039,19.989879374999997
5,2040-2059,20.317906062499997
5,2060-2079,20.283701875000002
5,2080-2099,20.189005812500003
6,2020-2039,24.673408124999998
6,2040-2059,25.022273562500004
6,2060-2079,24.865043125000003
6,2080-2099,24.85964075
7,2020-2039,27.8889735625
7,2040-2059,28.295309312500002
7,2060-2079,28.192190062500003
7,2080-2099,28.06693725
8,2020-2039,27.772782687499998
8,2040-2059,28.111724375000005
8,2060-2079,28.18504831249999
8,2080-2099,28.025606937500005
9,2020-2039,23.415036687500006
9,2040-2059,23.885823
9,2060-2079,23.8666544375
9,2080-2099,23.5167095
10,2020-2039,18.077974937500002
10,2040-2059,18.222435750000002
10,2060-2079,18.285361875
10,2080-2099,18.1650908125
11,2020-2039,13.46023965625
11,2040-2059,13.61989303125
11,2060-2079,13.64609865625
11,2080-2099,13.622834562500001
12,2020-2039,10.40219421875
12,2040-2059,10.577367562499997
12,2060-2079,10.5809686875
12,2080-2099,10.58476625
