Month,Year,Monthly Max-Temperature - (Celsius)
1,2020-2039,29.2650534375
1,2040-2059,29.5942115625
1,2060-2079,29.665580375000005
1,2080-2099,29.696892937500003
2,2020-2039,29.9637998125
2,2040-2059,30.223227937499995
2,2060-2079,30.401507187500002
2,2080-2099,30.403788062499995
3,2020-2039,30.17140175000001
3,2040-2059,30.392638250000005
3,2060-2079,30.487134812500003
3,2080-2099,30.421749374999997
4,2020-2039,29.5605974375
4,2040-2059,29.750979187500004
4,2060-2079,29.817892374999992
4,2080-2099,29.801259999999996
5,2020-2039,29.204256437499996
5,2040-2059,29.400158312499997
5,2060-2079,29.500957437500006
5,2080-2099,29.506793562499997
6,2020-2039,29.372990687500003
6,2040-2059,29.5590365
6,2060-2079,29.665617249999997
6,2080-2099,29.603016437500003
7,2020-2039,29.550076312499996
7,2040-2059,29.705571625
7,2060-2079,29.907638062500002
7,2080-2099,29.85899775
8,2020-2039,29.436624875
8,2040-2059,29.667407812500002
8,2060-2079,29.785205812500006
8,2080-2099,29.766436625
9,2020-2039,29.394224000000005
9,2040-2059,29.577621625
9,2060-2079,29.6834191875
9,2080-2099,29.689758437499997
10,2020-2039,29.094184875000003
10,2040-2059,29.2697305625
10,2060-2079,29.3386604375
10,2080-2099,29.320156875000002
11,2020-2039,28.5497745
11,2040-2059,28.737302
11,2060-2079,28.781713250000003
11,2080-2099,28.806797
12,2020-2039,28.626842562500002
12,2040-2059,28.8578433125
12,2060-2079,28.909834812500005
12,2080-2099,28.964582687500005
