Month,Year,Monthly Max-Temperature - (Celsius)
1,2020-2039,26.164033749999998
1,2040-2059,26.397328999999996
1,2060-2079,26.457772625
1,2080-2099,26.3942183125
2,2020-2039,26.0874163125
2,2040-2059,26.3338833125
2,2060-2079,26.37267275
2,2080-2099,26.306433937500003
3,2020-2039,26.3697149375
3,2040-2059,26.606526999999996
3,2060-2079,26.6543699375
3,2080-2099,26.586180562499997
4,2020-2039,26.862755749999998
4,2040-2059,27.078052999999997
4,2060-2079,27.1527530625
4,2080-2099,27.080464062499995
5,2020-2039,27.4167198125
5,2040-2059,27.6130415
5,2060-2079,27.641691062499998
5,2080-2099,27.602529562500003
6,2020-2039,28.010213875
6,2040-2059,28.238201375
6,2060-2079,28.253713875
6,2080-2099,28.225466874999995
7,2020-2039,28.631065062500006
7,2040-2059,28.844444875
7,2060-2079,28.812673937499998
7,2080-2099,28.7907319375
8,2020-2039,28.9553425625
8,2040-2059,29.142610750000003
8,2060-2079,29.157247000000005
8,2080-2099,29.12659425
9,2020-2039,28.835294687500003
9,2040-2059,29.032649875
9,2060-2079,29.064330874999996
9,2080-2099,29.027842749999998
10,2020-2039,28.396939625
10,2040-2059,28.571514562500006
10,2060-2079,28.595836812499996
10,2080-2099,28.571073375
11,2020-2039,27.640014750000002
11,2040-2059,27.825590562499997
11,2060-2079,27.879709812500003
11,2080-2099,27.8087075
12,2020-2039,26.780516437500005
12,2040-2059,26.9818689375
12,2060-2079,27.023621062500002
12,2080-2099,26.9507979375
