Month,Year,Monthly Max-Temperature - (Celsius)
1,2020-2039,34.74358737499999
1,2040-2059,34.9582606875
1,2060-2079,34.838552875000005
1,2080-2099,34.712380375
2,2020-2039,36.87497218750001
2,2040-2059,37.125764406250006
2,2060-2079,36.85280334375
2,2080-2099,36.84125440625
3,2020-2039,38.7237731875
3,2040-2059,38.938556874999996
3,2060-2079,38.81311928125
3,2080-2099,38.68188668749999
4,2020-2039,38.852559375000006
4,2040-2059,39.048075749999995
4,2060-2079,38.902000406249996
4,2080-2099,38.84270259375
5,2020-2039,37.407113843750004
5,2040-2059,37.58603668750001
5,2060-2079,37.550971875000016
5,2080-2099,37.5609564375
6,2020-2039,35.3384333125
6,2040-2059,35.54638653125
6,2060-2079,35.664625875
6,2080-2099,35.55690128124999
7,2020-2039,33.35350234375
7,2040-2059,33.661695843749996
7,2060-2079,33.6310275
7,2080-2099,33.6474005625
8,2020-2039,32.37180259375
8,2040-2059,32.614667843750006
8,2060-2079,32.50973584375
8,2080-2099,32.56100821875
9,2020-2039,32.699201
9,2040-2059,32.884011781249995
9,2060-2079,32.86617771875001
9,2080-2099,32.902482875
10,2020-2039,34.25335478125
10,2040-2059,34.40689378124999
10,2060-2079,34.46107415624999
10,2080-2099,34.41814840625
11,2020-2039,35.38114246875
11,2040-2059,35.4488855
11,2060-2079,35.331585531250006
11,2080-2099,35.28194684375
12,2020-2039,34.42896540625
12,2040-2059,34.5925243125
12,2060-2079,34.431362156249996
12,2080-2099,34.371768437499995
