Month,Year,Monthly Max-Temperature - (Celsius)
1,2020-2039,18.838074687500004
1,2040-2059,19.184080875000003
1,2060-2079,19.12181021875
1,2080-2099,19.054320750000002
2,2020-2039,21.936599750000003
2,2040-2059,22.342262875000003
2,2060-2079,22.278223625000003
2,2080-2099,22.206992125
3,2020-2039,26.977227250000002
3,2040-2059,27.2628743125
3,2060-2079,27.293263187500003
3,2080-2099,27.2157095625
4,2020-2039,31.944745312499997
4,2040-2059,32.289952625
4,2060-2079,32.3836324375
4,2080-2099,32.287985375
5,2020-2039,37.5402893125
5,2040-2059,37.9242350625
5,2060-2079,37.799880312499994
5,2080-2099,37.8916516875
6,2020-2039,43.773214437499995
6,2040-2059,44.178971687499995
6,2060-2079,44.077753375
6,2080-2099,43.949610625000005
7,2020-2039,46.60726075
7,2040-2059,46.832158375
7,2060-2079,46.8313298125
7,2080-2099,46.8777983125
8,2020-2039,45.916470937499994
8,2040-2059,46.2835586875
8,2060-2079,46.1128229375
8,2080-2099,46.038562375
9,2020-2039,42.0145731875
9,2040-2059,42.434565375
9,2060-2079,42.2832555625
9,2080-2099,42.362591375
10,2020-2039,34.4323999375
10,2040-2059,34.9024561875
10,2060-2079,34.6827018125
10,2080-2099,34.8431956875
11,2020-2039,25.6726020625
11,2040-2059,25.820700062500002
11,2060-2079,25.629580125
11,2080-2099,25.8572729375
12,2020-2039,19.651163875
12,2040-2059,20.135338125
12,2060-2079,19.988854937499998
12,2080-2099,20.0056950625
