Month,Year,Monthly Max-Temperature - (Celsius)
1,2020-2039,29.6934949375
1,2040-2059,29.820129124999998
1,2060-2079,29.841934499999997
1,2080-2099,29.9180959375
2,2020-2039,29.424453875
2,2040-2059,29.612801562500003
2,2060-2079,29.592532750000004
2,2080-2099,29.630561500000002
3,2020-2039,29.106943750000003
3,2040-2059,29.221436312500003
3,2060-2079,29.2828613125
3,2080-2099,29.254593999999994
4,2020-2039,28.0981820625
4,2040-2059,28.351171937500002
4,2060-2079,28.383357375000003
4,2080-2099,28.29436075
5,2020-2039,26.4747204375
5,2040-2059,26.707724437499998
5,2060-2079,26.692178875
5,2080-2099,26.597148999999998
6,2020-2039,24.724707374999994
6,2040-2059,24.9122446875
6,2060-2079,24.9207634375
6,2080-2099,24.858297937499994
7,2020-2039,24.189597000000003
7,2040-2059,24.374241499999997
7,2060-2079,24.3407316875
7,2080-2099,24.316680124999998
8,2020-2039,25.154559125
8,2040-2059,25.203803749999995
8,2060-2079,25.229894999999996
8,2080-2099,25.1704026875
9,2020-2039,27.0990903125
9,2040-2059,27.201744624999993
9,2060-2079,27.246979812499998
9,2080-2099,27.234012125
10,2020-2039,29.164417374999996
10,2040-2059,29.370023562499995
10,2060-2079,29.379393000000004
10,2080-2099,29.317356062500004
11,2020-2039,29.910300499999998
11,2040-2059,30.211377062500006
11,2060-2079,30.250818187500002
11,2080-2099,30.164124625
12,2020-2039,29.895540062499997
12,2040-2059,30.174701125
12,2060-2079,30.1361008125
12,2080-2099,30.227902812499995
