Month,Year,Monthly Max-Temperature - (Celsius)
1,2020-2039,27.991552312499994
1,2040-2059,28.157952250000005
1,2060-2079,28.212042687499995
1,2080-2099,28.200170937500005
2,2020-2039,27.916562437499998
2,2040-2059,28.103342625
2,2060-2079,28.15550975
2,2080-2099,28.1540651875
3,2020-2039,28.334367625
3,2040-2059,28.503811749999993
3,2060-2079,28.560905437499997
3,2080-2099,28.554234437500003
4,2020-2039,29.011818874999996
4,2040-2059,29.156878750000004
4,2060-2079,29.2403523125
4,2080-2099,29.1870095
5,2020-2039,29.258489687500003
5,2040-2059,29.426555937499998
5,2060-2079,29.51613125
5,2080-2099,29.4937303125
6,2020-2039,29.014874
6,2040-2059,29.139371562500003
6,2060-2079,29.254952
6,2080-2099,29.2210605625
7,2020-2039,28.77653543750001
7,2040-2059,28.950627812500002
7,2060-2079,29.007666500000003
7,2080-2099,28.981862687500005
8,2020-2039,28.67193
8,2040-2059,28.85023775
8,2060-2079,28.8769551875
8,2080-2099,28.828651375
9,2020-2039,28.532771812500002
9,2040-2059,28.703542374999994
9,2060-2079,28.7426755625
9,2080-2099,28.7255353125
10,2020-2039,28.48234475
10,2040-2059,28.6646269375
10,2060-2079,28.692542312500002
10,2080-2099,28.694710187499997
11,2020-2039,28.5413443125
11,2040-2059,28.713126125
11,2060-2079,28.719134812499995
11,2080-2099,28.722734750000004
12,2020-2039,28.34370125
12,2040-2059,28.487130625000006
12,2060-2079,28.507011875
12,2080-2099,28.519128375000005
