Month,Year,Monthly Max-Temperature - (Celsius)
1,2020-2039,8.3159985375
1,2040-2059,8.7528712875
1,2060-2079,8.7024155
1,2080-2099,8.6309994
2,2020-2039,9.501956762499997
2,2040-2059,9.8976520375
2,2060-2079,9.960239275
2,2080-2099,9.903794262500002
3,2020-2039,12.68678896875
3,2040-2059,13.041152375
3,2060-2079,13.1195690625
3,2080-2099,13.2328635625
4,2020-2039,17.04159575
4,2040-2059,17.4566436875
4,2060-2079,17.480070125
4,2080-2099,17.464331375
5,2020-2039,22.027449624999996
5,2040-2059,22.480693000000002
5,2060-2079,22.582497500000002
5,2080-2099,22.539970312500003
6,2020-2039,27.2764439375
6,2040-2059,27.78177525
6,2060-2079,27.6328576875
6,2080-2099,27.723184625000005
7,2020-2039,31.099546000000004
7,2040-2059,31.568134750000006
7,2060-2079,31.4858750625
7,2080-2099,31.429025500000005
8,2020-2039,30.7160171875
8,2040-2059,31.206824437500003
8,2060-2079,31.306808125
8,2080-2099,31.2055133125
9,2020-2039,25.240329687499997
9,2040-2059,25.90816875
9,2060-2079,25.936988874999994
9,2080-2099,25.722514250000003
10,2020-2039,18.5768944375
10,2040-2059,18.804274249999995
10,2060-2079,18.924544531250003
10,2080-2099,18.947737218750003
11,2020-2039,12.95829434375
11,2040-2059,13.215282875
11,2060-2079,13.27140315625
11,2080-2099,13.4298931875
12,2020-2039,9.558420706250002
12,2040-2059,9.835196999999999
12,2060-2079,9.832588568750001
12,2080-2099,9.88691223125
