Month,Year,Monthly Max-Temperature - (Celsius)
1,2020-2039,19.4611635
1,2040-2059,19.5470991875
1,2060-2079,19.525352250000005
1,2080-2099,19.478257375000002
2,2020-2039,19.7399866875
2,2040-2059,19.7812970625
2,2060-2079,19.758663249999998
2,2080-2099,19.723319374999996
3,2020-2039,18.542944375
3,2040-2059,18.648295875
3,2060-2079,18.5817145625
3,2080-2099,18.5070494375
4,2020-2039,16.302895499999998
4,2040-2059,16.411642062499997
4,2060-2079,16.3778319375
4,2080-2099,16.30978778125
5,2020-2039,14.003031562499999
5,2040-2059,14.074447656250001
5,2060-2079,14.112602625000001
5,2080-2099,14.008803531250003
6,2020-2039,12.18608740625
6,2040-2059,12.217520062500002
6,2060-2079,12.266095437499999
6,2080-2099,12.153000031250002
7,2020-2039,11.271195593750003
7,2040-2059,11.3696635
7,2060-2079,11.342406937499998
7,2080-2099,11.2741186875
8,2020-2039,11.42624903125
8,2040-2059,11.521351531249996
8,2060-2079,11.57741
8,2080-2099,11.518694906250001
9,2020-2039,12.4696201875
9,2040-2059,12.56527446875
9,2060-2079,12.507112531250002
9,2080-2099,12.535565281250001
10,2020-2039,13.865278
10,2040-2059,13.918627250000002
10,2060-2079,13.9719335
10,2080-2099,13.872931343749999
11,2020-2039,15.641302812500001
11,2040-2059,15.670073906249996
11,2060-2079,15.7563569375
11,2080-2099,15.708623625
12,2020-2039,17.8794848125
12,2040-2059,17.871731312500003
12,2060-2079,17.949743875000003
12,2080-2099,17.860166500000002
