Month,Year,Monthly Max-Temperature - (Celsius)
1,2020-2039,27.0293613125
1,2040-2059,27.213071624999994
1,2060-2079,27.362463312499997
1,2080-2099,27.258634812499995
2,2020-2039,27.216520875
2,2040-2059,27.374488874999994
2,2060-2079,27.47612975
2,2080-2099,27.473477437500005
3,2020-2039,28.258036999999998
3,2040-2059,28.425936875
3,2060-2079,28.516977875
3,2080-2099,28.479675500000006
4,2020-2039,29.574898812499995
4,2040-2059,29.704467124999997
4,2060-2079,29.819069875000004
4,2080-2099,29.74548225
5,2020-2039,30.148797124999998
5,2040-2059,30.288444062499995
5,2060-2079,30.380419187499996
5,2080-2099,30.348521687499996
6,2020-2039,29.82482225
6,2040-2059,29.955423375
6,2060-2079,30.0095985625
6,2080-2099,29.9571874375
7,2020-2039,29.357139812500005
7,2040-2059,29.492853499999995
7,2060-2079,29.553472187500002
7,2080-2099,29.505549999999996
8,2020-2039,29.273536125
8,2040-2059,29.446887249999996
8,2060-2079,29.460480999999998
8,2080-2099,29.45220831249999
9,2020-2039,29.302180000000003
9,2040-2059,29.39248125
9,2060-2079,29.4793201875
9,2080-2099,29.437225562500004
10,2020-2039,29.1431889375
10,2040-2059,29.2715933125
10,2060-2079,29.339310125
10,2080-2099,29.306952374999998
11,2020-2039,28.6086681875
11,2040-2059,28.779820312499993
11,2060-2079,28.8621795
11,2080-2099,28.804010124999998
12,2020-2039,27.760915750000002
12,2040-2059,27.942535562499998
12,2060-2079,28.005606625
12,2080-2099,27.950272500000008
