Month,Year,Monthly Max-Temperature - (Celsius)
1,2020-2039,24.5646704375
1,2040-2059,24.814286812499997
1,2060-2079,24.808583687499997
1,2080-2099,24.893278875000004
2,2020-2039,25.52880275
2,2040-2059,25.6922214375
2,2060-2079,25.821805250000004
2,2080-2099,25.8245745625
3,2020-2039,26.125456375
3,2040-2059,26.4195478125
3,2060-2079,26.455062937500003
3,2080-2099,26.362202749999998
4,2020-2039,26.214854499999998
4,2040-2059,26.596334812499997
4,2060-2079,26.507536499999997
4,2080-2099,26.4461414375
5,2020-2039,26.269077312499995
5,2040-2059,26.548466187500004
5,2060-2079,26.422347249999998
5,2080-2099,26.424231624999997
6,2020-2039,26.3878945625
6,2040-2059,26.6720818125
6,2060-2079,26.5872448125
6,2080-2099,26.552420499999997
7,2020-2039,27.099975250000004
7,2040-2059,27.394557874999997
7,2060-2079,27.25437275
7,2080-2099,27.296195499999996
8,2020-2039,28.318962749999997
8,2040-2059,28.538645125
8,2060-2079,28.490090749999993
8,2080-2099,28.538181750000003
9,2020-2039,28.183876875000003
9,2040-2059,28.5566336875
9,2060-2079,28.51376575
9,2080-2099,28.478031187499997
10,2020-2039,26.442025375
10,2040-2059,26.688705937499996
10,2060-2079,26.787354625000006
10,2080-2099,26.732074625
11,2020-2039,24.3548818125
11,2040-2059,24.690806812499996
11,2060-2079,24.6685929375
11,2080-2099,24.689464562499996
12,2020-2039,23.890419187500004
12,2040-2059,24.125697000000006
12,2060-2079,24.108419812499996
12,2080-2099,24.157337250000005
