Month,Year,Monthly Max-Temperature - (Celsius)
1,2020-2039,28.574685874999997
1,2040-2059,28.862421562500003
1,2060-2079,28.865918875
1,2080-2099,28.8478559375
2,2020-2039,29.228572437499995
2,2040-2059,29.4371733125
2,2060-2079,29.503803875000003
2,2080-2099,29.4072788125
3,2020-2039,30.2515885
3,2040-2059,30.5372599375
3,2060-2079,30.614696312499998
3,2080-2099,30.5086559375
4,2020-2039,31.280778625
4,2040-2059,31.484906812499993
4,2060-2079,31.5458435625
4,2080-2099,31.498491812500003
5,2020-2039,31.4097038125
5,2040-2059,31.6207666875
5,2060-2079,31.737931187499996
5,2080-2099,31.607833437500002
6,2020-2039,30.726912625
6,2040-2059,31.0396394375
6,2060-2079,31.0460515625
6,2080-2099,30.9774759375
7,2020-2039,30.600523875
7,2040-2059,30.880324937500003
7,2060-2079,30.918676312500004
7,2080-2099,30.912908875
8,2020-2039,30.755052937500004
8,2040-2059,31.034476625
8,2060-2079,31.059608937500002
8,2080-2099,31.049557812499998
9,2020-2039,30.257621249999996
9,2040-2059,30.656145249999994
9,2060-2079,30.533723187499994
9,2080-2099,30.556949562500005
10,2020-2039,29.852562687500004
10,2040-2059,30.0984064375
10,2060-2079,30.074181562499994
10,2080-2099,30.0843686875
11,2020-2039,29.428211687499996
11,2040-2059,29.640298562500003
11,2060-2079,29.705429562499997
11,2080-2099,29.704547125
12,2020-2039,28.826992375
12,2040-2059,29.079904187500002
12,2060-2079,29.0557444375
12,2080-2099,29.088130937499997
