Month,Year,Monthly Max-Temperature - (Celsius)
1,2020-2039,28.01313978125
1,2040-2059,28.182952093749996
1,2060-2079,28.227983812500003
1,2080-2099,28.18808425
2,2020-2039,28.155542312499996
2,2040-2059,28.36097903124999
2,2060-2079,28.418732468750004
2,2080-2099,28.37550221875
3,2020-2039,28.52644821875
3,2040-2059,28.714357625
3,2060-2079,28.799075250000005
3,2080-2099,28.7483138125
4,2020-2039,28.712647125000004
4,2040-2059,28.87496040625
4,2060-2079,28.95068371875
4,2080-2099,28.9063695
5,2020-2039,28.152843218749997
5,2040-2059,28.292902218750005
5,2060-2079,28.337742875
5,2080-2099,28.335267031249998
6,2020-2039,26.98462471875
6,2040-2059,27.161094874999996
6,2060-2079,27.19588228125
6,2080-2099,27.206820125
7,2020-2039,26.013853406250007
7,2040-2059,26.192693968749996
7,2060-2079,26.225260718750004
7,2080-2099,26.230902468750003
8,2020-2039,25.6595905625
8,2040-2059,25.8224499375
8,2060-2079,25.84629903125001
8,2080-2099,25.851330968750002
9,2020-2039,25.91037121875
9,2040-2059,26.055542187500002
9,2060-2079,26.075879031250004
9,2080-2099,26.090759812500004
10,2020-2039,26.584593687500004
10,2040-2059,26.73046531250001
10,2060-2079,26.7431524375
10,2080-2099,26.745500531250002
11,2020-2039,27.421027531249994
11,2040-2059,27.54163831250001
11,2060-2079,27.565925468749995
11,2080-2099,27.5524535
12,2020-2039,27.90224771874999
12,2040-2059,28.04600090625
12,2060-2079,28.089737281250002
12,2080-2099,28.075723843750005
