Month,Year,Monthly Max-Temperature - (Celsius)
1,2020-2039,34.5880218125
1,2040-2059,34.734030499999996
1,2060-2079,34.814503875
1,2080-2099,34.733197437499996
2,2020-2039,35.832829874999995
2,2040-2059,36.01179225
2,2060-2079,36.126289
2,2080-2099,36.1375865
3,2020-2039,35.803954000000004
3,2040-2059,36.02112981250001
3,2060-2079,36.1734716875
3,2080-2099,36.052407125
4,2020-2039,34.320395500000004
4,2040-2059,34.4838218125
4,2060-2079,34.6778821875
4,2080-2099,34.564796
5,2020-2039,32.6201999375
5,2040-2059,32.7804675625
5,2060-2079,32.999055999999996
5,2080-2099,32.862143999999994
6,2020-2039,31.1082295
6,2040-2059,31.2431870625
6,2060-2079,31.3859734375
6,2080-2099,31.34644725
7,2020-2039,29.8244806875
7,2040-2059,30.0308349375
7,2060-2079,30.144569374999996
7,2080-2099,30.129782
8,2020-2039,29.0564196875
8,2040-2059,29.264719937499997
8,2060-2079,29.2924330625
8,2080-2099,29.420738250000003
9,2020-2039,29.502846000000005
9,2040-2059,29.6418366875
9,2060-2079,29.749934500000002
9,2080-2099,29.735672687500003
10,2020-2039,30.6134548125
10,2040-2059,30.7934775625
10,2060-2079,30.85378275
10,2080-2099,30.86437875
11,2020-2039,32.16100631250001
11,2040-2059,32.234673875
11,2060-2079,32.33198575
11,2080-2099,32.33649625
12,2020-2039,33.125971687500005
12,2040-2059,33.1464299375
12,2060-2079,33.266379375
12,2080-2099,33.288835875
