Month,Year,Monthly Max-Temperature - (Celsius)
1,2020-2039,27.292742312499996
1,2040-2059,27.5150935625
1,2060-2079,27.594031875
1,2080-2099,27.608912375000003
2,2020-2039,27.783374187499998
2,2040-2059,27.9435751875
2,2060-2079,28.026121749999998
2,2080-2099,28.049588687500002
3,2020-2039,28.1225190625
3,2040-2059,28.2668554375
3,2060-2079,28.3006248125
3,2080-2099,28.250145812499998
4,2020-2039,27.4246499375
4,2040-2059,27.58549
4,2060-2079,27.653609375000002
4,2080-2099,27.583724875
5,2020-2039,26.411570562500003
5,2040-2059,26.555824374999997
5,2060-2079,26.4941553125
5,2080-2099,26.504799499999997
6,2020-2039,25.370166250000004
6,2040-2059,25.595053749999995
6,2060-2079,25.459132
6,2080-2099,25.47803925
7,2020-2039,25.416735375000002
7,2040-2059,25.569105562499995
7,2060-2079,25.457056062499998
7,2080-2099,25.4681150625
8,2020-2039,27.055992437500002
8,2040-2059,27.125853125
8,2060-2079,27.046264625
8,2080-2099,27.1057775
9,2020-2039,29.083536625
9,2040-2059,29.299814375000004
9,2060-2079,29.229135812500004
9,2080-2099,29.22491575
10,2020-2039,30.1194940625
10,2040-2059,30.297018875000003
10,2060-2079,30.288186124999996
10,2080-2099,30.1850359375
11,2020-2039,28.9794411875
11,2040-2059,29.250078375
11,2060-2079,29.269216874999998
11,2080-2099,29.189356374999996
12,2020-2039,27.572711687500004
12,2040-2059,27.8226860625
12,2060-2079,27.841505687500003
12,2080-2099,27.796569437499997
