Month,Year,Monthly Max-Temperature - (Celsius)
1,2020-2039,22.511900000000004
1,2040-2059,22.808652812500004
1,2060-2079,22.879035374999997
1,2080-2099,22.8998650625
2,2020-2039,24.9019596875
2,2040-2059,25.189831875000003
2,2060-2079,25.272293250000004
2,2080-2099,25.299618374999998
3,2020-2039,28.41261475
3,2040-2059,28.6509808125
3,2060-2079,28.762849062500003
3,2080-2099,28.730436437500003
4,2020-2039,31.480772249999998
4,2040-2059,31.627378562500002
4,2060-2079,31.836839749999996
4,2080-2099,31.797490625000002
5,2020-2039,31.826815999999994
5,2040-2059,31.9665601875
5,2060-2079,32.2994645625
5,2080-2099,32.1060349375
6,2020-2039,30.511148
6,2040-2059,30.741307000000003
6,2060-2079,30.773580749999997
6,2080-2099,30.664726374999997
7,2020-2039,29.872328875000004
7,2040-2059,29.9430168125
7,2060-2079,30.065754875
7,2080-2099,29.9456249375
8,2020-2039,29.472664125000005
8,2040-2059,29.7052596875
8,2060-2079,29.69371756250001
8,2080-2099,29.736519187500004
9,2020-2039,28.7802130625
9,2040-2059,28.9588470625
9,2060-2079,29.030045937499995
9,2080-2099,29.0118220625
10,2020-2039,27.280023625000002
10,2040-2059,27.507595249999998
10,2060-2079,27.5892304375
10,2080-2099,27.57053175
11,2020-2039,24.999989000000003
11,2040-2059,25.253144
11,2060-2079,25.309639249999996
11,2080-2099,25.3678780625
12,2020-2039,22.637599937500003
12,2040-2059,23.000220125
12,2060-2079,22.921930812499994
12,2080-2099,23.032498312500003
