Month,Year,Monthly Max-Temperature - (Celsius)
1,2020-2039,35.068432
1,2040-2059,35.3912955
1,2060-2079,35.79755600000001
1,2080-2099,35.99692156249999
2,2020-2039,36.7713939375
2,2040-2059,37.1829921875
2,2060-2079,37.525363125000005
2,2080-2099,37.703947875
3,2020-2039,37.301764999999996
3,2040-2059,37.652463499999996
3,2060-2079,38.1829330625
3,2080-2099,38.4502999375
4,2020-2039,35.696555499999995
4,2040-2059,36.152015125
4,2060-2079,36.537186375
4,2080-2099,36.777469999999994
5,2020-2039,33.55893575
5,2040-2059,33.99143337499999
5,2060-2079,34.388715375
5,2080-2099,34.7249324375
6,2020-2039,31.760989062499995
6,2040-2059,32.2636761875
6,2060-2079,32.6695518125
6,2080-2099,32.8884980625
7,2020-2039,30.435926125
7,2040-2059,30.8492216875
7,2060-2079,31.2195881875
7,2080-2099,31.4023436875
8,2020-2039,29.5378733125
8,2040-2059,29.9783578125
8,2060-2079,30.306193
8,2080-2099,30.530064249999995
9,2020-2039,30.03313
9,2040-2059,30.477490437500006
9,2060-2079,30.867061562499998
9,2080-2099,31.1083949375
10,2020-2039,31.465614999999993
10,2040-2059,32.0000590625
10,2060-2079,32.2388909375
10,2080-2099,32.5416468125
11,2020-2039,33.288350812500006
11,2040-2059,33.7641975
11,2060-2079,34.033781000000005
11,2080-2099,34.300988375
12,2020-2039,33.9566110625
12,2040-2059,34.37921843749999
12,2060-2079,34.660246875
12,2080-2099,34.925428875
