Month,Year,Monthly Max-Temperature - (Celsius)
1,2020-2039,28.833557875000004
1,2040-2059,29.4681855
1,2060-2079,29.9308473125
1,2080-2099,30.1560215625
2,2020-2039,28.528516500000002
2,2040-2059,29.204394625
2,2060-2079,29.640187625000003
2,2080-2099,29.834242
3,2020-2039,27.908411625
3,2040-2059,28.593982562500003
3,2060-2079,29.002460687499998
3,2080-2099,29.1450795625
4,2020-2039,27.147805749999996
4,2040-2059,27.821728
4,2060-2079,28.302631000000005
4,2080-2099,28.515202875
5,2020-2039,26.511090499999998
5,2040-2059,27.267738562500003
5,2060-2079,27.549319125
5,2080-2099,27.857333999999998
6,2020-2039,25.824332125
6,2040-2059,26.554615249999998
6,2060-2079,26.96215775
6,2080-2099,27.1401154375
7,2020-2039,26.4062761875
7,2040-2059,27.240245374999997
7,2060-2079,27.7120353125
7,2080-2099,27.897880187500004
8,2020-2039,28.574365500000006
8,2040-2059,29.150987187499997
8,2060-2079,29.78168175
8,2080-2099,29.963245375
9,2020-2039,30.2561698125
9,2040-2059,30.932257125
9,2060-2079,31.51916925
9,2080-2099,31.940063437499997
10,2020-2039,30.641164375
10,2040-2059,31.383769312499997
10,2060-2079,31.910758124999994
10,2080-2099,32.104095937500006
11,2020-2039,30.0144284375
11,2040-2059,30.8345606875
11,2060-2079,31.2528514375
11,2080-2099,31.5182311875
12,2020-2039,29.272888187499998
12,2040-2059,29.869713937500002
12,2060-2079,30.264574
12,2080-2099,30.577785937500003
