Month,Year,Monthly Max-Temperature - (Celsius)
1,2020-2039,19.407493374999998
1,2040-2059,19.79141675
1,2060-2079,20.29740925
1,2080-2099,20.535146875
2,2020-2039,22.514088062499997
2,2040-2059,23.108665312499998
2,2060-2079,23.1735329375
2,2080-2099,23.532757499999995
3,2020-2039,26.549935625
3,2040-2059,27.196845875
3,2060-2079,27.786097562499993
3,2080-2099,28.1540224375
4,2020-2039,30.854877687499993
4,2040-2059,31.6841994375
4,2060-2079,32.1110524375
4,2080-2099,32.38039293749999
5,2020-2039,34.990412187500006
5,2040-2059,35.7484188125
5,2060-2079,36.173487249999994
5,2080-2099,36.4396093125
6,2020-2039,38.71843650000001
6,2040-2059,39.656944749999994
6,2060-2079,40.203964375
6,2080-2099,40.41838437500001
7,2020-2039,41.26407475
7,2040-2059,42.05775249999999
7,2060-2079,42.633489875
7,2080-2099,43.075449687500004
8,2020-2039,40.438159625000004
8,2040-2059,41.109954625
8,2060-2079,41.6694939375
8,2080-2099,42.0614255
9,2020-2039,36.3258981875
9,2040-2059,37.01684775
9,2060-2079,37.5778205
9,2080-2099,37.781213937500006
10,2020-2039,30.6375209375
10,2040-2059,31.243889000000003
10,2060-2079,31.606028062499995
10,2080-2099,31.911378999999997
11,2020-2039,24.391047187499996
11,2040-2059,24.949573249999997
11,2060-2079,25.403878125000006
11,2080-2099,25.648712125
12,2020-2039,19.850975250000005
12,2040-2059,20.384147062500002
12,2060-2079,20.851336375000002
12,2080-2099,20.873122062500002
