Month,Year,Monthly Max-Temperature - (Celsius)
1,2020-2039,33.0695219375
1,2040-2059,33.454907625
1,2060-2079,33.831245125
1,2080-2099,34.03735062500001
2,2020-2039,34.6457625
2,2040-2059,35.102141312499995
2,2060-2079,35.433190624999995
2,2080-2099,35.652725187499996
3,2020-2039,35.288493312499995
3,2040-2059,35.735521625000004
3,2060-2079,36.1634668125
3,2080-2099,36.30772350000001
4,2020-2039,34.28358568749999
4,2040-2059,34.7816395625
4,2060-2079,35.149035999999995
4,2080-2099,35.3942455625
5,2020-2039,32.373428125
5,2040-2059,32.87079175
5,2060-2079,33.23033387500001
5,2080-2099,33.43598675
6,2020-2039,30.324395187500006
6,2040-2059,30.819535687500004
6,2060-2079,31.1908748125
6,2080-2099,31.3141625
7,2020-2039,28.811369812499997
7,2040-2059,29.25454625
7,2060-2079,29.5688510625
7,2080-2099,29.7350304375
8,2020-2039,28.029673562499998
8,2040-2059,28.468682875
8,2060-2079,28.786318562499996
8,2080-2099,28.950673999999996
9,2020-2039,28.494287187500003
9,2040-2059,28.921095062499997
9,2060-2079,29.268979999999996
9,2080-2099,29.4556731875
10,2020-2039,29.7403334375
10,2040-2059,30.219802500000004
10,2060-2079,30.474027874999997
10,2080-2099,30.711168937500002
11,2020-2039,31.262966875000004
11,2040-2059,31.7147893125
11,2060-2079,32.022699062499996
11,2080-2099,32.19313468749999
12,2020-2039,31.89361987499999
12,2040-2059,32.376284375000004
12,2060-2079,32.682507125
12,2080-2099,32.8893705625
