Month,Year,Monthly Max-Temperature - (Celsius)
1,2020-2039,11.947612806250001
1,2040-2059,12.615275187499998
1,2060-2079,12.94644784375
1,2080-2099,13.37779628125
2,2020-2039,14.745857625000001
2,2040-2059,15.378597343750002
2,2060-2079,15.5104798125
2,2080-2099,15.906935968749998
3,2020-2039,19.218103187499995
3,2040-2059,20.2288538125
3,2060-2079,20.51929475
3,2080-2099,20.746885374999998
4,2020-2039,24.681368624999998
4,2040-2059,25.4393590625
4,2060-2079,26.028909625000004
4,2080-2099,26.06335875
5,2020-2039,30.324407375
5,2040-2059,31.002720062500003
5,2060-2079,31.710628187500003
5,2080-2099,31.8221481875
6,2020-2039,36.2842138125
6,2040-2059,37.03057562499999
6,2060-2079,37.620275562500005
6,2080-2099,37.8192139375
7,2020-2039,38.971158374999995
7,2040-2059,39.80717387499999
7,2060-2079,40.360108125
7,2080-2099,40.6061675625
8,2020-2039,37.905499437500005
8,2040-2059,38.725016312499996
8,2060-2079,39.1005843125
8,2080-2099,39.39913381249999
9,2020-2039,33.7441609375
9,2040-2059,34.5779118125
9,2060-2079,34.99136025
9,2080-2099,35.2657723125
10,2020-2039,26.6086220625
10,2040-2059,27.398880062499995
10,2060-2079,27.863923437500002
10,2080-2099,27.91610025
11,2020-2039,18.40754396875
11,2040-2059,19.13501925
11,2060-2079,19.4234321875
11,2080-2099,19.737732937499995
12,2020-2039,13.047606999999998
12,2040-2059,13.63168796875
12,2060-2079,14.056852812499997
12,2080-2099,14.29519134375
