Month,Year,Monthly Max-Temperature - (Celsius)
1,2020-2039,-0.011017108125000119
1,2040-2059,-0.07910980374999976
1,2060-2079,-0.22133758999999997
1,2080-2099,-0.21832077187500007
2,2020-2039,-0.39689753562499985
2,2040-2059,-0.30823485375000004
2,2060-2079,-0.41301005000000024
2,2080-2099,-0.33751222312499995
3,2020-2039,0.5692892031250001
3,2040-2059,0.3342146385
3,2060-2079,0.2566897737499998
3,2080-2099,0.4099256024999999
4,2020-2039,2.4834488890624997
4,2040-2059,2.6426103850000002
4,2060-2079,2.6283167237500002
4,2080-2099,2.7040848084999998
5,2020-2039,5.3980364000000005
5,2040-2059,5.686222612500001
5,2060-2079,5.6214740249999995
5,2080-2099,5.72624822875
6,2020-2039,8.34770635625
6,2040-2059,8.672946593749998
6,2060-2079,8.749720974999999
6,2080-2099,8.84138238125
7,2020-2039,10.5164319875
7,2040-2059,10.75158970625
7,2060-2079,10.70848974375
7,2080-2099,10.905465325000002
8,2020-2039,10.18707928125
8,2040-2059,10.427071668750001
8,2060-2079,10.4452753125
8,2080-2099,10.612025325
9,2020-2039,7.835866168749999
9,2040-2059,8.07979761875
9,2060-2079,8.09731533125
9,2080-2099,8.264582225
10,2020-2039,4.93610744375
10,2040-2059,5.0030120125
10,2060-2079,5.014447146875
10,2080-2099,5.177849799999999
11,2020-2039,2.3490163993749995
11,2040-2059,2.492057405
11,2060-2079,2.4113980106249997
11,2080-2099,2.6102348424999997
12,2020-2039,0.802512125
12,2040-2059,0.8261652568750001
12,2060-2079,0.6610632506249999
12,2080-2099,1.03475211075
