Month,Year,Monthly Max-Temperature - (Celsius)
1,2020-2039,16.619934125
1,2040-2059,17.1252349375
1,2060-2079,17.4570864375
1,2080-2099,17.674034500000005
2,2020-2039,18.147162
2,2040-2059,18.577579812499998
2,2060-2079,18.861051749999998
2,2080-2099,19.056590999999997
3,2020-2039,20.8942624375
3,2040-2059,21.596038
3,2060-2079,21.909314437499997
3,2080-2099,22.1118706875
4,2020-2039,24.5586635625
4,2040-2059,25.034949750000003
4,2060-2079,25.584925625
4,2080-2099,25.7162041875
5,2020-2039,28.257745249999996
5,2040-2059,28.619597812499997
5,2060-2079,29.246543250000002
5,2080-2099,29.539146937499996
6,2020-2039,32.252327124999994
6,2040-2059,32.864790812500004
6,2060-2079,33.3068008125
6,2080-2099,33.590949499999994
7,2020-2039,34.774061687499994
7,2040-2059,35.42240675000001
7,2060-2079,35.935000187499995
7,2080-2099,36.161888000000005
8,2020-2039,35.0690714375
8,2040-2059,35.759018125
8,2060-2079,36.32563881249999
8,2080-2099,36.502801312500004
9,2020-2039,32.185526
9,2040-2059,32.83232149999999
9,2060-2079,33.3588508125
9,2080-2099,33.4603631875
10,2020-2039,27.268272812499994
10,2040-2059,27.9938525
10,2060-2079,28.4821246875
10,2080-2099,28.51799975
11,2020-2039,22.050368562499994
11,2040-2059,22.467261687500002
11,2060-2079,23.040302874999995
11,2080-2099,23.072631937500006
12,2020-2039,17.78409440625
12,2040-2059,18.41348890625
12,2060-2079,18.73286725
12,2080-2099,18.7997978125
