Month,Year,Monthly Max-Temperature - (Celsius)
1,2020-2039,28.02077625
1,2040-2059,28.385188562499998
1,2060-2079,28.690117124999997
1,2080-2099,28.802426750000006
2,2020-2039,27.811643874999994
2,2040-2059,28.170301374999998
2,2060-2079,28.4706605625
2,2080-2099,28.564414312500002
3,2020-2039,27.895770937500004
3,2040-2059,28.241112375
3,2060-2079,28.547435375
3,2080-2099,28.6409375
4,2020-2039,28.1082165625
4,2040-2059,28.433162
4,2060-2079,28.7621681875
4,2080-2099,28.874557875
5,2020-2039,28.3613726875
5,2040-2059,28.71123875
5,2060-2079,29.020791062500003
5,2080-2099,29.117935812499997
6,2020-2039,28.583386124999993
6,2040-2059,28.935407375000008
6,2060-2079,29.23756525
6,2080-2099,29.344237999999994
7,2020-2039,28.734460375000005
7,2040-2059,29.084632499999994
7,2060-2079,29.375739812499997
7,2080-2099,29.4859213125
8,2020-2039,28.861522249999997
8,2040-2059,29.206842187500005
8,2060-2079,29.5035656875
8,2080-2099,29.625407937499997
9,2020-2039,28.929413874999995
9,2040-2059,29.269573562500003
9,2060-2079,29.568629812500003
9,2080-2099,29.697360562500005
10,2020-2039,28.90969425
10,2040-2059,29.242204187499993
10,2060-2079,29.562101125000005
10,2080-2099,29.666297937499998
11,2020-2039,28.784486062499997
11,2040-2059,29.120396125
11,2060-2079,29.432934250000002
11,2080-2099,29.559124812500002
12,2020-2039,28.4673596875
12,2040-2059,28.815708937499995
12,2060-2079,29.111561249999998
12,2080-2099,29.23849275
