Month,Year,Monthly Max-Temperature - (Celsius)
1,2020-2039,24.3982833125
1,2040-2059,24.9036121875
1,2060-2079,25.426317374999996
1,2080-2099,25.45317775
2,2020-2039,27.298626
2,2040-2059,27.7608139375
2,2060-2079,28.286001562499997
2,2080-2099,28.401153937500002
3,2020-2039,31.264519312499996
3,2040-2059,31.6859945625
3,2060-2079,32.024528312499996
3,2080-2099,32.27513025
4,2020-2039,33.698650875
4,2040-2059,34.189658125
4,2060-2079,34.4923613125
4,2080-2099,34.779213874999996
5,2020-2039,33.0817221875
5,2040-2059,33.453045625
5,2060-2079,33.7818210625
5,2080-2099,34.15275487499999
6,2020-2039,30.1727449375
6,2040-2059,30.539538500000003
6,2060-2079,30.8972195625
6,2080-2099,31.1451165
7,2020-2039,28.481404812499996
7,2040-2059,28.910425687499995
7,2060-2079,29.257527875
7,2080-2099,29.4562673125
8,2020-2039,28.50367475
8,2040-2059,28.923083125
8,2060-2079,29.38189168750001
8,2080-2099,29.421799250000003
9,2020-2039,28.85520375
9,2040-2059,29.303631812499997
9,2060-2079,29.638141249999997
9,2080-2099,29.828591125000006
10,2020-2039,28.237700812499998
10,2040-2059,28.722345125000004
10,2060-2079,29.069877875000003
10,2080-2099,29.266680875
11,2020-2039,26.46169925
11,2040-2059,26.899207500000003
11,2060-2079,27.3384418125
11,2080-2099,27.412092875000006
12,2020-2039,24.118647250000002
12,2040-2059,24.71206925
12,2060-2079,25.108872187500005
12,2080-2099,25.297731687500004
