Month,Year,Monthly Max-Temperature - (Celsius)
1,2020-2039,6.841854125
1,2040-2059,7.197223525000001
1,2060-2079,7.487304524999999
1,2080-2099,7.525416525
2,2020-2039,7.5408218937500004
2,2040-2059,7.873922856249999
2,2060-2079,8.051298687500001
2,2080-2099,8.18703201875
3,2020-2039,10.0888327875
3,2040-2059,10.28561691875
3,2060-2079,10.36246255
3,2080-2099,10.393670831250002
4,2020-2039,13.583388625
4,2040-2059,13.841959343750002
4,2060-2079,13.9572074375
4,2080-2099,14.108707687499999
5,2020-2039,17.733824187500005
5,2040-2059,18.325582812500006
5,2060-2079,18.382926124999997
5,2080-2099,18.2289465625
6,2020-2039,21.329176312499996
6,2040-2059,22.128953874999997
6,2060-2079,22.478824187500003
6,2080-2099,22.256247062499998
7,2020-2039,23.5883833125
7,2040-2059,24.038953250000002
7,2060-2079,24.5845631875
7,2080-2099,24.6398135625
8,2020-2039,22.886261312500004
8,2040-2059,23.459912499999998
8,2060-2079,23.991912000000003
8,2080-2099,23.94293
9,2020-2039,19.4538405
9,2040-2059,19.7922496875
9,2060-2079,20.337089125000006
9,2080-2099,20.645572375
10,2020-2039,14.650178249999996
10,2040-2059,15.080051937500002
10,2060-2079,15.183204937500003
10,2080-2099,15.641520000000002
11,2020-2039,10.3139863
11,2040-2059,10.71164640625
11,2060-2079,10.9543715
11,2080-2099,11.134850125
12,2020-2039,7.7946785937500005
12,2040-2059,8.21697033125
12,2060-2079,8.476315125
12,2080-2099,8.61071075
