Month,Year,Monthly Max-Temperature - (Celsius)
1,2020-2039,-1.7723332125
1,2040-2059,-1.1025966385000001
1,2060-2079,-0.565161466875
1,2080-2099,-0.5290926931250002
2,2020-2039,0.22692888687499993
2,2040-2059,0.8518943281250001
2,2060-2079,1.2190671706249998
2,2080-2099,1.4734320374999998
3,2020-2039,5.840473512499999
3,2040-2059,6.6494839812499995
3,2060-2079,6.990167799999999
3,2080-2099,7.112141568749999
4,2020-2039,13.325425625
4,2040-2059,13.9559296875
4,2060-2079,14.227615781249998
4,2080-2099,14.410862281250001
5,2020-2039,19.56986825
5,2040-2059,20.1604995625
5,2060-2079,20.51167475
5,2080-2099,20.813936125
6,2020-2039,23.552015500000003
6,2040-2059,24.359667312499997
6,2060-2079,24.7570388125
6,2080-2099,25.207655999999997
7,2020-2039,26.022411
7,2040-2059,26.7095896875
7,2060-2079,27.333945375
7,2080-2099,27.559440562500004
8,2020-2039,26.324311624999996
8,2040-2059,27.253242625000006
8,2060-2079,27.716990312499995
8,2080-2099,27.7273926875
9,2020-2039,22.728364624999998
9,2040-2059,23.6219445625
9,2060-2079,24.1100710625
9,2080-2099,24.281004375000002
10,2020-2039,16.0311799375
10,2040-2059,16.89020025
10,2060-2079,17.186515874999998
10,2080-2099,17.4170838125
11,2020-2039,8.239250575
11,2040-2059,8.8647241125
11,2060-2079,9.34988088125
11,2080-2099,9.527290781249999
12,2020-2039,1.3640067651875
12,2040-2059,2.030482282264375
12,2060-2079,2.389090134625
12,2080-2099,2.7121307875
