Month,Year,Monthly Max-Temperature - (Celsius)
1,2020-2039,-18.199301000000002
1,2040-2059,-17.049109062499998
1,2060-2079,-16.39145946875
1,2080-2099,-16.132432062499998
2,2020-2039,-15.662404831249999
2,2040-2059,-14.733925175000001
2,2060-2079,-14.258225375000002
2,2080-2099,-13.919119625
3,2020-2039,-8.824594607500002
3,2040-2059,-7.920114323749998
3,2060-2079,-7.516203658125001
3,2080-2099,-7.347599854374999
4,2020-2039,-0.33920839687500004
4,2040-2059,0.5574721383125
4,2060-2079,1.0129088084375
4,2080-2099,1.0178623879875
5,2020-2039,8.93296263125
5,2040-2059,9.7246338125
5,2060-2079,10.21901578125
5,2080-2099,10.512419218749999
6,2020-2039,17.336483937500002
6,2040-2059,18.213415437499997
6,2060-2079,18.719203812499998
6,2080-2099,18.866934437500003
7,2020-2039,21.040592437499996
7,2040-2059,21.84118112499999
7,2060-2079,22.267212625000003
7,2080-2099,22.45348175
8,2020-2039,18.0361155625
8,2040-2059,18.783532125
8,2060-2079,19.199576312500003
8,2080-2099,19.416578406249997
9,2020-2039,10.170861374999998
9,2040-2059,10.793893906249998
9,2060-2079,11.3880493125
9,2080-2099,11.554129706250002
10,2020-2039,0.17680978812500006
10,2040-2059,0.9481069937499998
10,2060-2079,1.5737876378125
10,2080-2099,1.8266600618750002
11,2020-2039,-9.51960143125
11,2040-2059,-8.405466321125
11,2060-2079,-7.845202675
11,2080-2099,-7.624074406250001
12,2020-2039,-15.769029999999999
12,2040-2059,-14.578757775
12,2060-2079,-13.772613612499995
12,2080-2099,-13.861900531249997
