Month,Year,Monthly Max-Temperature - (Celsius)
1,2020-2039,21.189075625000005
1,2040-2059,21.760266312499997
1,2060-2079,22.118696000000003
1,2080-2099,22.3153395
2,2020-2039,24.312578000000002
2,2040-2059,24.69249025
2,2060-2079,24.9959270625
2,2080-2099,25.2719660625
3,2020-2039,28.629311625
3,2040-2059,29.4212921875
3,2060-2079,29.7392538125
3,2080-2099,29.957328625000002
4,2020-2039,33.024166625
4,2040-2059,33.8267459375
4,2060-2079,34.323024187499996
4,2080-2099,34.4409081875
5,2020-2039,37.1719493125
5,2040-2059,37.7811675
5,2060-2079,38.449098562500005
5,2080-2099,38.582047062499996
6,2020-2039,41.3981456875
6,2040-2059,42.0862385625
6,2060-2079,42.625086812499994
6,2080-2099,42.757382812500005
7,2020-2039,42.68453600000001
7,2040-2059,43.30303962500001
7,2060-2079,43.8882405625
7,2080-2099,43.963707750000005
8,2020-2039,41.647732937499995
8,2040-2059,42.39468706250001
8,2060-2079,42.8474936875
8,2080-2099,43.076058874999994
9,2020-2039,39.218508
9,2040-2059,39.88072056250001
9,2060-2079,40.457276625
9,2080-2099,40.69419237500001
10,2020-2039,33.83759225
10,2040-2059,34.520291562500006
10,2060-2079,35.065184125
10,2080-2099,35.104042875
11,2020-2039,26.942365375
11,2040-2059,27.490166374999998
11,2060-2079,27.936007749999995
11,2080-2099,28.116924
12,2020-2039,21.959175375
12,2040-2059,22.470134312499997
12,2060-2079,22.8494299375
12,2080-2099,23.073385499999997
