Month,Year,Monthly Max-Temperature - (Celsius)
1,2020-2039,29.126205249999998
1,2040-2059,29.428881999999998
1,2060-2079,29.7555561875
1,2080-2099,29.8675833125
2,2020-2039,29.198069
2,2040-2059,29.5056951875
2,2060-2079,29.8249301875
2,2080-2099,29.9437896875
3,2020-2039,29.241858000000004
3,2040-2059,29.582891249999996
3,2060-2079,29.859498875000003
3,2080-2099,29.966984812499994
4,2020-2039,29.2300910625
4,2040-2059,29.547786187499998
4,2060-2079,29.841265437500002
4,2080-2099,29.953608624999994
5,2020-2039,28.9382859375
5,2040-2059,29.26359675
5,2060-2079,29.557521187499997
5,2080-2099,29.665095937499995
6,2020-2039,28.359479750000002
6,2040-2059,28.673461124999996
6,2060-2079,28.935259
6,2080-2099,29.0621060625
7,2020-2039,27.7919903125
7,2040-2059,28.115941562499998
7,2060-2079,28.3848015625
7,2080-2099,28.503284562500003
8,2020-2039,27.5561415625
8,2040-2059,27.900760312500005
8,2060-2079,28.16684075
8,2080-2099,28.270900375000004
9,2020-2039,27.654196437499998
9,2040-2059,27.978318249999997
9,2060-2079,28.271462187500003
9,2080-2099,28.381674874999998
10,2020-2039,27.966401374999997
10,2040-2059,28.293860312499998
10,2060-2079,28.5655623125
10,2080-2099,28.681929999999998
11,2020-2039,28.4239298125
11,2040-2059,28.717146312500006
11,2060-2079,28.9936115625
11,2080-2099,29.091519625
12,2020-2039,28.8637570625
12,2040-2059,29.147550937500004
12,2060-2079,29.4283293125
12,2080-2099,29.538169312499996
