Month,Year,Monthly Max-Temperature - (Celsius)
1,2020-2039,9.49500965
1,2040-2059,10.077383356249998
1,2060-2079,10.275146499999998
1,2080-2099,10.880918312500002
2,2020-2039,11.976108656249998
2,2040-2059,12.739235375
2,2060-2079,12.6724736875
2,2080-2099,13.169512062499999
3,2020-2039,16.7812415625
3,2040-2059,17.81626965625
3,2060-2079,18.0146524375
3,2080-2099,18.152573249999996
4,2020-2039,23.157852125
4,2040-2059,23.8468683125
4,2060-2079,24.376616812499996
4,2080-2099,24.3360615
5,2020-2039,29.597325250000004
5,2040-2059,30.342019
5,2060-2079,30.880576875000003
5,2080-2099,31.005259500000005
6,2020-2039,35.4484701875
6,2040-2059,36.154112874999996
6,2060-2079,36.521379125
6,2080-2099,36.802954875000005
7,2020-2039,38.052426187500004
7,2040-2059,38.9432561875
7,2060-2079,39.332123062499996
7,2080-2099,39.672946375
8,2020-2039,36.4561971875
8,2040-2059,37.349132125
8,2060-2079,37.6883219375
8,2080-2099,37.941179375
9,2020-2039,30.7856939375
9,2040-2059,31.745365625
9,2060-2079,32.052017812500004
9,2080-2099,32.337958750000006
10,2020-2039,23.228765125
10,2040-2059,24.025116250000004
10,2060-2079,24.318451687499998
10,2080-2099,24.447064937500002
11,2020-2039,15.69661809375
11,2040-2059,16.431346468749997
11,2060-2079,16.409591125
11,2080-2099,16.8009781875
12,2020-2039,10.7859918375
12,2040-2059,11.2494988875
12,2060-2079,11.59219443125
12,2080-2099,11.76726779375
