Month,Year,Monthly Max-Temperature - (Celsius)
1,2020-2039,26.8300571875
1,2040-2059,27.2501598125
1,2060-2079,27.537291562499995
1,2080-2099,27.696420187500003
2,2020-2039,26.9318285
2,2040-2059,27.3431878125
2,2060-2079,27.624150125
2,2080-2099,27.781752687499996
3,2020-2039,27.405606625
3,2040-2059,27.8092965625
3,2060-2079,28.103186374999996
3,2080-2099,28.254903749999997
4,2020-2039,27.922324500000002
4,2040-2059,28.325591
4,2060-2079,28.580482125000003
4,2080-2099,28.730473812499998
5,2020-2039,28.14360275
5,2040-2059,28.5643674375
5,2060-2079,28.821799937499996
5,2080-2099,28.933617
6,2020-2039,28.248527124999995
6,2040-2059,28.683978999999997
6,2060-2079,28.962221125000006
6,2080-2099,29.1071631875
7,2020-2039,28.626087187499994
7,2040-2059,29.010986
7,2060-2079,29.3755919375
7,2080-2099,29.467779687499995
8,2020-2039,29.1659373125
8,2040-2059,29.5614105
8,2060-2079,29.915376875000003
8,2080-2099,30.022467999999996
9,2020-2039,29.355860874999998
9,2040-2059,29.751159124999997
9,2060-2079,30.08056525
9,2080-2099,30.204541125
10,2020-2039,29.0181180625
10,2040-2059,29.403945437500003
10,2060-2079,29.705512062499995
10,2080-2099,29.838073875
11,2020-2039,28.286168937499998
11,2040-2059,28.679669875
11,2060-2079,29.010924249999995
11,2080-2099,29.14112125
12,2020-2039,27.418969875000002
12,2040-2059,27.790920999999997
12,2060-2079,28.0918418125
12,2080-2099,28.245139
