Month,Year,Monthly Max-Temperature - (Celsius)
1,2020-2039,26.790915937499996
1,2040-2059,27.120893
1,2060-2079,27.6792144375
1,2080-2099,28.055606124999997
2,2020-2039,27.688032437500002
2,2040-2059,28.246585812499998
2,2060-2079,28.7272375625
2,2080-2099,29.147060874999998
3,2020-2039,29.5491279375
3,2040-2059,29.93659075
3,2060-2079,30.524501375
3,2080-2099,30.989721
4,2020-2039,31.138996312499998
4,2040-2059,31.4813021875
4,2060-2079,31.958957
4,2080-2099,32.6652963125
5,2020-2039,31.544526312499997
5,2040-2059,31.823894624999994
5,2060-2079,32.345059437500005
5,2080-2099,32.7843435625
6,2020-2039,30.777221249999997
6,2040-2059,31.255781375
6,2060-2079,31.715498500000002
6,2080-2099,32.3096121875
7,2020-2039,30.719208249999998
7,2040-2059,31.311357000000005
7,2060-2079,31.747326125
7,2080-2099,32.315346500000004
8,2020-2039,30.978489187500003
8,2040-2059,31.469123312499995
8,2060-2079,32.1090176875
8,2080-2099,32.560367625000005
9,2020-2039,30.432971187499998
9,2040-2059,30.981858
9,2060-2079,31.519858812500004
9,2080-2099,32.0500798125
10,2020-2039,29.5368434375
10,2040-2059,30.0753988125
10,2060-2079,30.540145875000004
10,2080-2099,31.056503624999998
11,2020-2039,28.36865725
11,2040-2059,28.7447400625
11,2060-2079,29.20138975
11,2080-2099,29.787365624999996
12,2020-2039,27.2533715
12,2040-2059,27.559725874999998
12,2060-2079,28.208968125
12,2080-2099,28.637375437499998
