Month,Year,Monthly Max-Temperature - (Celsius)
1,2020-2039,12.710409875000002
1,2040-2059,13.111200843750002
1,2060-2079,13.864701906250001
1,2080-2099,14.555190031249998
2,2020-2039,15.0671779375
2,2040-2059,15.650971750000002
2,2060-2079,16.106393406250003
2,2080-2099,16.8345005
3,2020-2039,19.3384875
3,2040-2059,19.727153062499998
3,2060-2079,20.629900625
3,2080-2099,21.125993374999997
4,2020-2039,23.523488625
4,2040-2059,23.98650375
4,2060-2079,24.578387125000003
4,2080-2099,25.240994500000003
5,2020-2039,24.887769062500006
5,2040-2059,25.6740363125
5,2060-2079,26.2682273125
5,2080-2099,26.870864124999997
6,2020-2039,24.0753289375
6,2040-2059,24.6800513125
6,2060-2079,25.133083749999997
6,2080-2099,25.587599312499997
7,2020-2039,22.155171062500003
7,2040-2059,22.436959062499998
7,2060-2079,23.065844625000004
7,2080-2099,23.689796312499997
8,2020-2039,21.9305649375
8,2040-2059,22.2333994375
8,2060-2079,22.8592329375
8,2080-2099,23.544183375000003
9,2020-2039,21.434780875
9,2040-2059,21.90403625
9,2060-2079,22.384530625000004
9,2080-2099,23.1472113125
10,2020-2039,19.7153756875
10,2040-2059,20.01508775
10,2060-2079,20.595747937499997
10,2080-2099,21.333650000000002
11,2020-2039,16.38451884375
11,2040-2059,16.7487199375
11,2060-2079,17.4824411875
11,2080-2099,18.047212843750007
12,2020-2039,13.305092531250002
12,2040-2059,13.682614656250003
12,2060-2079,14.452119749999998
12,2080-2099,15.157101874999999
