Month,Year,Monthly Max-Temperature - (Celsius)
1,2020-2039,-2.0677464375
1,2040-2059,-1.575094429375
1,2060-2079,-0.7602570275000001
1,2080-2099,-0.16450568274999997
2,2020-2039,0.6969555581250001
2,2040-2059,1.3091590574375003
2,2060-2079,1.9336286645000003
2,2080-2099,2.6226439306250007
3,2020-2039,6.304237562500001
3,2040-2059,6.975356774999999
3,2060-2079,7.66691943125
3,2080-2099,8.38178479375
4,2020-2039,13.02672096875
4,2040-2059,13.7419135
4,2060-2079,14.34127490625
4,2080-2099,15.098749937499997
5,2020-2039,18.8032880625
5,2040-2059,19.423425499999997
5,2060-2079,20.061323437499997
5,2080-2099,20.795401875000003
6,2020-2039,22.970164375
6,2040-2059,23.48425325
6,2060-2079,24.309000437500003
6,2080-2099,25.031154875
7,2020-2039,25.037533625000005
7,2040-2059,25.533279187500003
7,2060-2079,26.440653062499997
7,2080-2099,27.1682560625
8,2020-2039,24.120989000000005
8,2040-2059,24.666388375000007
8,2060-2079,25.533640125000005
8,2080-2099,26.36457925
9,2020-2039,19.5912921875
9,2040-2059,20.22559575
9,2060-2079,21.0449039375
9,2080-2099,21.905920875
10,2020-2039,12.5823345625
10,2040-2059,13.252875500000002
10,2060-2079,14.03246925
10,2080-2099,14.917234281249996
11,2020-2039,5.05299835
11,2040-2059,5.71524029375
11,2060-2079,6.484020975
11,2080-2099,7.235747062499999
12,2020-2039,-0.5784257868750001
12,2040-2059,0.022048833625000028
12,2060-2079,0.887476176875
12,2080-2099,1.611110293125
