Month,Year,Monthly Max-Temperature - (Celsius)
1,2020-2039,28.700275937499995
1,2040-2059,29.11853925
1,2060-2079,29.6072130625
1,2080-2099,30.1421133125
2,2020-2039,30.780093625000003
2,2040-2059,31.355267312499997
2,2060-2079,31.78467556250001
2,2080-2099,32.297099437499995
3,2020-2039,32.1898599375
3,2040-2059,32.7576138125
3,2060-2079,33.11318875
3,2080-2099,33.74408
4,2020-2039,31.736072437500003
4,2040-2059,32.23580075000001
4,2060-2079,32.6117704375
4,2080-2099,33.281139874999994
5,2020-2039,30.395288
5,2040-2059,30.978750375
5,2060-2079,31.450737999999994
5,2080-2099,32.1524410625
6,2020-2039,29.326437062500002
6,2040-2059,29.861341624999998
6,2060-2079,30.405228687500003
6,2080-2099,31.129612
7,2020-2039,28.166648812500004
7,2040-2059,28.679900937499998
7,2060-2079,29.16081525
7,2080-2099,29.797088999999996
8,2020-2039,28.207408375
8,2040-2059,28.72958125
8,2060-2079,29.2073674375
8,2080-2099,29.763786875
9,2020-2039,28.625854687500006
9,2040-2059,29.163200062499996
9,2060-2079,29.583507062499997
9,2080-2099,30.0911494375
10,2020-2039,28.089380812499996
10,2040-2059,28.5547385
10,2060-2079,28.9927323125
10,2080-2099,29.465539937499997
11,2020-2039,27.387686062500002
11,2040-2059,27.809559687500002
11,2060-2079,28.213876499999998
11,2080-2099,28.7351800625
12,2020-2039,27.336250562500002
12,2040-2059,27.7337705
12,2060-2079,28.233405875
12,2080-2099,28.6347781875
