Month,Year,Monthly Max-Temperature - (Celsius)
1,2020-2039,8.9417546
1,2040-2059,9.196811824999997
1,2060-2079,9.706660687500001
1,2080-2099,10.1181999625
2,2020-2039,9.694807099999998
2,2040-2059,10.273820562500001
2,2060-2079,10.612964250000001
2,2080-2099,10.951687625
3,2020-2039,11.857811062499998
3,2040-2059,12.530368812500003
3,2060-2079,12.820086843750001
3,2080-2099,13.252443625000002
4,2020-2039,14.833838875000001
4,2040-2059,15.451493593749998
4,2060-2079,15.783110375
4,2080-2099,16.449829875
5,2020-2039,18.7036178125
5,2040-2059,19.180419375
5,2060-2079,19.8795120625
5,2080-2099,20.6403948125
6,2020-2039,22.9855854375
6,2040-2059,23.392970249999998
6,2060-2079,24.054084312500002
6,2080-2099,25.063761125
7,2020-2039,25.4282670625
7,2040-2059,26.2492329375
7,2060-2079,27.115155875
7,2080-2099,28.315678062499995
8,2020-2039,25.051944250000002
8,2040-2059,25.873644249999998
8,2060-2079,26.768511875
8,2080-2099,27.816493625000003
9,2020-2039,21.33093225
9,2040-2059,22.229749250000005
9,2060-2079,23.010808625000003
9,2080-2099,23.7271673125
10,2020-2039,16.436075843749997
10,2040-2059,16.905861249999997
10,2060-2079,17.4255526875
10,2080-2099,18.0131051875
11,2020-2039,12.128802156250002
11,2040-2059,12.5176738125
11,2060-2079,12.845739250000001
11,2080-2099,13.599957625
12,2020-2039,9.602298124999999
12,2040-2059,10.089503
12,2060-2079,10.561474125
12,2080-2099,11.065282781250001
