Month,Year,Monthly Max-Temperature - (Celsius)
1,2020-2039,7.37572064375
1,2040-2059,7.600893681250001
1,2060-2079,8.026929925000001
1,2080-2099,8.385372881250001
2,2020-2039,7.426035637499999
2,2040-2059,7.8762370625
2,2060-2079,8.038185112499999
2,2080-2099,8.45432845625
3,2020-2039,8.6665778375
3,2040-2059,9.192401168750001
3,2060-2079,9.36028930625
3,2080-2099,9.732154443750002
4,2020-2039,10.969831375000002
4,2040-2059,11.44719253125
4,2060-2079,11.689609037499999
4,2080-2099,12.2340236875
5,2020-2039,14.3360800625
5,2040-2059,14.690940999999999
5,2060-2079,15.144070062500003
5,2080-2099,15.600853500000001
6,2020-2039,17.653702531249998
6,2040-2059,18.070663624999998
6,2060-2079,18.455385749999998
6,2080-2099,19.1482178125
7,2020-2039,19.396561000000002
7,2040-2059,19.9473044375
7,2060-2079,20.495521874999998
7,2080-2099,21.330307874999995
8,2020-2039,18.967878375
8,2040-2059,19.559054625
8,2060-2079,20.1270315625
8,2080-2099,20.778095374999996
9,2020-2039,16.5333025625
9,2040-2059,17.182007
9,2060-2079,17.60216875
9,2080-2099,18.29953475
10,2020-2039,13.135183093750005
10,2040-2059,13.512053718750002
10,2060-2079,13.9295408125
10,2080-2099,14.411275687500003
11,2020-2039,9.917050737499999
11,2040-2059,10.325591218749999
11,2060-2079,10.61256115625
11,2080-2099,11.12719375
12,2020-2039,8.214767125
12,2040-2059,8.59976364375
12,2060-2079,8.84111106875
12,2080-2099,9.358900781250002
