Month,Year,Monthly Max-Temperature - (Celsius)
1,2020-2039,34.298444937499994
1,2040-2059,34.7815755
1,2060-2079,35.238955625
1,2080-2099,35.9735088125
2,2020-2039,36.02876125
2,2040-2059,36.55212625
2,2060-2079,37.0269533125
2,2080-2099,37.760538937499994
3,2020-2039,37.214096999999995
3,2040-2059,37.668411187500006
3,2060-2079,38.0558206875
3,2080-2099,38.8171094375
4,2020-2039,36.596959687500004
4,2040-2059,36.9732225625
4,2060-2079,37.37016225000001
4,2080-2099,38.053982187500004
5,2020-2039,34.767507625
5,2040-2059,35.1835639375
5,2060-2079,35.77893712499999
5,2080-2099,36.39737368749999
6,2020-2039,32.4380363125
6,2040-2059,32.8911985625
6,2060-2079,33.414536062500005
6,2080-2099,34.2111089375
7,2020-2039,30.641011374999998
7,2040-2059,30.995046125
7,2060-2079,31.504200625
7,2080-2099,32.1801495625
8,2020-2039,29.671063312499996
8,2040-2059,30.114605687500003
8,2060-2079,30.600090625000007
8,2080-2099,31.180045312499995
9,2020-2039,30.0612794375
9,2040-2059,30.397109249999996
9,2060-2079,30.960047875000004
9,2080-2099,31.5463021875
10,2020-2039,31.3762259375
10,2040-2059,31.796844625000002
10,2060-2079,32.29870325
10,2080-2099,32.8860136875
11,2020-2039,33.0638743125
11,2040-2059,33.515834437500004
11,2060-2079,34.014393749999996
11,2080-2099,34.6430495625
12,2020-2039,33.589186812499996
12,2040-2059,34.109423375
12,2060-2079,34.560486624999996
12,2080-2099,35.243833375
